"Област","Община","Населено място","Училище","Код по НЕИСПУО","Бр. БЕЛ(ООП) З","Ср.усп. БЕЛ(ООП) З","Бр. Мат(ПП) З","Ср.усп. Мат(ПП) З","Бр. Ист(ПП) З","Ср.усп. Ист(ПП) З","Бр. ФА(ПП) З","Ср.усп. ФА(ПП) З","Бр. ГИ(ПП) З","Ср.усп. ГИ(ПП) З","Бр. ХООС(ПП) З","Ср.усп. ХООС(ПП) З","Бр. Фил(ПП) З","Ср.усп. Фил(ПП) З","Бр. БЗО(ПП) З","Ср.усп. БЗО(ПП) З","Бр. Инф(ПП) З","Ср.усп. Инф(ПП) З","Бр. ИТ(ПП) З","Ср.усп. ИТ(ПП) З","Бр. МУЗ(ПП) З","Ср.усп. МУЗ(ПП) З","Бр. ИИ(ПП) З","Ср.усп. ИИ(ПП) З","Бр. Пр(ПП) З","Ср.усп. Пр(ПП) З","Бр. АЕ(ПП) B1-З","Ср.усп. АЕ(ПП) B1-З","Бр. АЕ(ПП) B1.1-З","Ср.усп. АЕ(ПП) B1.1-З","Бр. АЕ(ПП) B2-З","Ср.усп. АЕ(ПП) B2-З","Бр. РЕ(ПП) B1-З","Ср.усп. РЕ(ПП) B1-З","Бр. РЕ(ПП) B1.1-З","Ср.усп. РЕ(ПП) B1.1-З","Бр. РЕ(ПП) B2-З","Ср.усп. РЕ(ПП) B2-З","Бр. НЕ(ПП) B1-З","Ср.усп. НЕ(ПП) B1-З","Бр. НЕ(ПП) B1.1-З","Ср.усп. НЕ(ПП) B1.1-З","Бр. НЕ(ПП) B2-З","Ср.усп. НЕ(ПП) B2-З","Бр. ИсЕ(ПП) B1-З","Ср.усп. ИсЕ(ПП) B1-З","Бр. ИсЕ(ПП) B1.1-З","Ср.усп. ИсЕ(ПП) B1.1-З","Бр. ИсЕ(ПП) B2-З","Ср.усп. ИсЕ(ПП) B2-З","Бр. ФЕ(ПП) B1-З","Ср.усп. ФЕ(ПП) B1-З","Бр. ФЕ(ПП) B1.1-З","Ср.усп. ФЕ(ПП) B1.1-З","Бр. ФЕ(ПП) B2-З","Ср.усп. ФЕ(ПП) B2-З","Бр. ИтЕ(ПП) B1-З","Ср.усп. ИтЕ(ПП) B1-З","Бр. ИтЕ(ПП) B1.1-З","Ср.усп. ИтЕ(ПП) B1.1-З","Бр. ИтЕ(ПП) B2-З","Ср.усп. ИтЕ(ПП) B2-З","Бр. ДИППК-п.р З","Ср.усп. ДИППК-п.р З","Бр. ДИППК-тест З","Ср.усп. ДИППК-тест З","Бр. ДИППК-Д.Пр З","Ср.усп. ДИППК-Д.Пр З","Бр. ДИППК-пр. З","Ср.усп. ДИППК-пр. З"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по икономика ""Иван Илиев""","100280","101","4.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","5.64","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","100300","82","3.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","4.85","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","27","4.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","4.17","","","5","4.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","101730","20","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4.52","","","17","5.18","1","3.45"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101870","134","4.7","","","3","4.38","","","","","","","37","4.43","","","","","1","3.92","12","4.07","16","4.15","","","","","27","5.3","34","4.96","","","","","","","","","","","","","","","","","4","4.88","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","28","3.46","","","","","","","1","2","","","","","1","2","","","","","","","","","3","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","4.87","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Неврокопска професионална гимназия ""Димитър Талев""","102001","127","4.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2.58","","","125","5.47","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","116","4.92","5","5.95","5","4.22","","","16","4.22","1","5.89","","","5","5.33","","","4","3.47","","","","","","","39","5.42","","","20","4.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","5.66","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","102016","52","4.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","5.29","","","37","5.65","1","5.17"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","35","3.73","","","14","2.6","","","","","","","","","16","3.87","","","","","","","","","","","5","4.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","39","3.58","10","3.63","","","","","7","2.36","","","13","3.73","","","","","","","","","","","","","2","5.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","24","3.44","","","","","","","17","2.66","","","","","4","3.1","","","","","","","","","","","1","4.59","","","1","3.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","102009","44","2.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","3.11","","","15","4.01","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","102014","117","3.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","5.26","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","50","4.49","","","16","2.7","","","","","","","","","","","","","","","","","","","","","34","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Профилирана гимназия ""Пейо Крачолов Яворов""","104001","130","4.88","10","4.8","1","2","","","27","3.77","","","20","4.66","16","5.25","","","1","4.2","","","","","","","30","5.44","","","27","4.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","10","2.26","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","20","4.04","","","","","","","9","4.56","","","","","","","","","","","","","","","","","9","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","29","4.71","","","","","","","","","","","","","","","","","","","","","","","14","4.12","15","5.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Разложка професионална гимназия ""Никола Стойчев""","102012","30","4.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","5.46","",""
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по механизация на селското стопанствo","102017","38","3.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","4.65","","","","","2","3.94"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по транспорт","102113","45","4.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","5.54","",""
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","69","4.88","","","","","","","","","","","","","7","5.27","","","12","3.61","","","","","","","","","","","50","5.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","102013","140","4.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","4.71","","","110","5.06","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Профилирана гимназия ""Яне Сандански""","104101","90","4.25","3","5.22","3","2.8","","","28","3.36","1","3.92","16","3.95","","","","","","","","","3","4.84","","","","","","","34","4.81","","","4","4.96","","","","","","","","","","","1","5.95","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Спортно училище","109185","20","3.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","4.81","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","Средно училище ""Христо Ботев""","109030","26","3.89","13","2.34","","","","","","","","","","","12","3.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","Средно училище ""Христо Смирненски""","109055","36","4.49","7","3.23","1","5.1","","","16","4.48","","","","","11","4.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","Средно училище ""Св. Св. Кирил и Методий""","109050","26","4.08","","","","","","","1","2","","","23","4.18","","","1","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","Средно училище ""Свети Климент Охридски""","109037","16","4.65","","","","","2","3.65","","","","","14","4.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","Средно училище ""Св. Св. Кирил и Методий""","103133","44","3.8","","","10","2.28","","","2","3.62","","","","","23","2.8","","","1","3.55","","","","","","","","","","","12","4.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","Средно училище ""Св.св.Кирил и Методий""","109102","12","2.43","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2.92","","","","","",""
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","Средно училище ""Никола Йонков Вапцаров""","108001","30","3.85","","","","","","","","","","","","","","","","","","","","","","","","","23","4.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","Средно училище Св. Паисий Хилендарски""","108004","32","4.42","","","","","","","1","2","","","","","1","5.4","","","","","","","","","","","30","4.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Професионална гимназия ""Петко Рачов Славейков""","102011","45","3.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","5.27","",""
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Средно училище ""Свети Свети Кирил и Методий""","107090","45","3.96","","","","","","","2","4.2","2","3.58","2","3.3","3","3.46","","","","","","","","","","","","","","","38","3.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Христо Ботев""","200112","52","4.38","","","","","","","9","4.81","","","","","22","4.39","","","1","5.59","","","","","","","","","","","16","4.93","","","","","","","","","","","1","3.83","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Никола Йонков Вапцаров""","200113","84","3.95","","","","","","","65","4.36","","","","","","","","","1","3.16","","","","","","","","","","","10","5.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Професионална гимназия по селско стопанство ""Златна нива""","200114","36","2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","3.52","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по компютърно програмиране и иновации","200120","92","4.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","4.54","","","22","5.61","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Иван Вазов""","200227","28","3.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","2.66","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище "" Йордан Йовков""","200228","4","2","","","","","","","2","2","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Епископ Константин Преславски""","200229","27","4.05","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","1","3.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","4.62","","","11","3.94","1","3.36"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище Добри Чинтулов""","200231","30","3.4","","","","","","","","","","","","","1","2","","","2","3.15","32","3.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Константин Петканов""","200232","22","3.9","","","","","","","","","","","19","4.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Петко Росен""","200233","12","2.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","2.72","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Св. св. Кирил и Методий""","200234","85","3.87","","","","","","","15","4.3","","","9","3.87","","","","","11","3.08","","","7","4.01","","","","","","","43","4.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана гимназия за романски езици ""Георги Стойков Раковски""","200235","180","4.92","","","5","4.23","","","1","4.11","","","","","2","4.73","","","7","4.13","","","","","","","","","137","5.48","","","","","","","","","","","","","","","","","","","18","4.56","","","2","5.24","6","5.06","","","","","2","5.66","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Английска езикова гимназия ""Гео Милев""","200236","156","5.06","3","3.69","","","","","","","","","","","","","","","","","","","4","3.73","","","","","","","150","5.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Немска езикова гимназия ""Гьоте""","200237","154","5.41","","","","","","","","","","","","","","","","","","","","","","","","","","","146","5.75","","","","","","","","","","","","","8","5.16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана гимназия за чужди езици ""Васил Левски""","200238","163","4.43","1","4.26","","","","","22","4.1","","","","","12","3.57","","","7","2.79","","","2","4.7","","","","","73","5.22","","","","","","","45","4.27","","","5","3.76","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","200239","156","5.41","83","5.56","","","1","5","","","3","5.31","","","9","5.49","3","5.44","10","4.11","","","","","","","","","","","49","5.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Спортно училище ""Юрий Гагарин""","200240","57","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","4.98","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","200242","190","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","4.71","53","4.76","49","5.43","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","200243","63","3.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","4.67","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по механоелектротехника и електроника","200244","175","4.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148","4.35","","","22","4.75","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","200245","155","4.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","3.57","81","3.59","14","4.37","1","3.05"
"БУРГАС","БУРГАС","ГР.БУРГАС","Търговска гимназия","200246","154","5.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","4.4","","","142","5.42","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","200247","133","3.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","3.48","48","5.17","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","200248","129","3.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","2.53","25","4.23","47","4.59","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по транспорт","200249","86","2.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","2.93","12","3.08","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална техническа гимназия","200250","17","2.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2.7","7","3.98","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""","200252","9","2.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Вечерно средно училище "" Захари Стоянов""","200255","36","3.12","","","","","","","14","3.16","","","7","4.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4.01","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Частна профилирана гимназия с изучаване на английски език Британика 1998","200258","6","3.67","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","6","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","2902103","51","4.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","4.95","","","",""
