Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Професионална гимназия по механоелектротехника ""Юрий Гагарин""",102009,36,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.19,,,,,,
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""",102014,120,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5.13,,
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Никола Йонков Вапцаров""",103310,52,4.17,6,2.63,10,04.02,,,,,,,,,,,,,,,,,,,,,36,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Профилирана гимназия ""Пейо Крачолов Яворов""",104001,129,4.18,10,4.3,2,2,,,19,2.99,,,33,3.37,19,4.52,,,4,2.53,,,,,,,28,5.33,,,15,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Антон Попов""",104002,11,2.1,,,,,,,,,,,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ПЕТРИЧ,С.КОЛАРОВО,"Средно училище ""Васил Левски""",104003,13,2.9,,,,,,,9,2.73,,,,,,,,,,,,,,,,,5,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ПЕТРИЧ,С.ПЪРВОМАЙ,"Средно училище ""Св.Паисий Хилендарски""",104004,20,3.77,,,,,,,1,4.62,,,,,3,04.07,,,,,,,,,17,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Разложка професионална гимназия ""Никола Стойчев""",102012,56,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,5.26,,
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,Професионална гимназия по механизация на селското стопанствo,102017,39,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3.68,,,,,,
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,Професионална гимназия по транспорт,102113,57,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5.19,,
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Средно училище ""Братя Петър и Иван Каназиреви""",103501,65,4.68,,,1,4.11,,,,,,,,,2,03.09,,,5,3.7,,,,,,,,,,,58,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,Професионална техническа гимназия,102007,14,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2.95,,,,,,
БЛАГОЕВГРАД,САНДАНСКИ,ГР.САНДАНСКИ,"Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""",102013,141,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3.65,,,76,5.16,,
