Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Професионална техническа гимназия ""Н. Й. Вапцаров""",603065,96,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4.16,,
ВРАЦА,ВРАЦА,ГР.ВРАЦА,Професионална гимназия по търговия и ресторантьорство,603067,64,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3.65,,,31,4.74,,
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Средно училище ""Никола Войводов""",603070,25,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.58,,
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Професионална гимназия ""Димитраки Хаджитошин""",603071,18,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,13,4.46,,
ВРАЦА,ВРАЦА,ГР.ВРАЦА,"Спортно училище ""Св.Климент Охридски""",608060,27,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5.3,,
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Средно училище ""Христо Ботев""",603076,45,3.65,,,,,,,23,3.65,,,11,3.31,,,,,7,4.24,,,,,,,,,,,3,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Средно училище ""Св. св. Кирил и Методий""",603077,41,4.43,8,3.59,7,4.13,1,4.54,,,,,,,,,,,3,3.64,,,,,,,21,5.43,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВРАЦА,КОЗЛОДУЙ,ГР.КОЗЛОДУЙ,"Професионална гимназия по ядрена енергетика ""Игор Курчатов""",603078,56,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3.37,,,12,4.79,,
ВРАЦА,КОЗЛОДУЙ,С.БУТАН,"Средно училище ""Св. Св. Кирил и Методий""",602073,14,02.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2.34,,,,,,
ВРАЦА,КРИВОДОЛ,ГР.КРИВОДОЛ,"Средно училище ""Св. св. Кирил и Методий""",603087,25,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3.29,,,,,,
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Средно училище ""Иван Вазов""",603098,53,3.69,,,11,3.29,,,,,,,,,,,,,,,,,,,,,,,,,17,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.56,,
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Професионална гимназия ""Алеко Константинов""",603100,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4.42,,,7,3.93,,
ВРАЦА,МЕЗДРА,ГР.МЕЗДРА,"Професионална гимназия ""Васил Левски""",603101,12,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.16,,
ВРАЦА,МЕЗДРА,С.ЗВЕРИНО,"Средно училище ""Свети Климент Охридски""",603099,12,3.88,,,,,,,,,,,,,,,,,,,,,,,12,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВРАЦА,МИЗИЯ,ГР.МИЗИЯ,"Професионална гимназия ""Васил Левски""",603108,15,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,04.02,,,,,1,3.4
ВРАЦА,ОРЯХОВО,ГР.ОРЯХОВО,"Средно училище ""Христо Ботев""",603116,31,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4.58,,,,,,
ВРАЦА,РОМАН,ГР.РОМАН,"Средно училище ""Васил Левски""",603123,14,3.71,,,1,5.96,,,9,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.36,,,,,,
ВРАЦА,РОМАН,С.КУНИНО,Професионална гимназия по каменообработване,2902507,4,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.35,,,,
ВРАЦА,ХАЙРЕДИН,С.ХАЙРЕДИН,"Средно училище ""Васил Воденичарски""",603130,21,03.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,04.03,,,,,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Средно училище ""Отец Паисий""",700113,31,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.26,,,,,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Средно училище ""Райчо Каролев""",700114,15,3.2,,,,,,,,,,,14,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ,700115,128,4.75,3,4.22,18,4.99,,,13,3.93,,,12,4.26,2,4.78,,,,,,,,,,,,,21,5.83,59,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Природоматематическа гимназия ""Академик Иван Гюзелев""",700116,102,4.65,34,4.63,,,,,,,,,,,13,5.12,7,4.92,6,3.79,,,,,,,,,8,5.86,34,4.73,,,,,,,,,,,3,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""",700118,99,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4,3,6,,
ГАБРОВО,ГАБРОВО,ГР.ГАБРОВО,"Професионална гимназия по туризъм ""Пенчо Семов""",700120,84,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4.1,,,,,,
ГАБРОВО,ДРЯНОВО,ГР.ДРЯНОВО,"Средно училище ""Максим Райкович""",700204,17,3.56,,,,,,,,,,,17,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,ДРЯНОВО,ГР.ДРЯНОВО,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""",700205,15,03.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.32,,,6,5.76,,
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Средно училище ""Васил Левски""",700318,71,4.39,,,,,,,,,,,,,22,3.53,,,2,2,,,,,9,3.5,,,17,5.86,20,4.7,,,,,2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Професионална гимназия по механоелектротехника ""Ген.Иван Бъчваров""",700323,86,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,4.28,,
ГАБРОВО,СЕВЛИЕВО,ГР.СЕВЛИЕВО,"Професионална гимназия ""Марин Попов""",700330,15,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2.6,,,,
ГАБРОВО,СЕВЛИЕВО,С.ГРАДНИЦА,Професионална гимназия по транспорт и машиностроене,700320,15,02.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,04.07,,,,
ГАБРОВО,ТРЯВНА,ГР.ТРЯВНА,"Средно училище ""Петко Рачев Славейков""",700403,17,3.63,,,,,,,,,,,13,3.64,,,,,,,,,,,,,,,,,3,05.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГАБРОВО,ТРЯВНА,ГР.ТРЯВНА,"НАЦИОНАЛНА ГИМНАЗИЯ ЗА ПРИЛОЖНИ ИЗКУСТВА ""ТРЕВНЕНСКА ШКОЛА""",2902503,24,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,05.06,,,,
ДОБРИЧ,БАЛЧИК,ГР.БАЛЧИК,"Средно училище ""Христо Ботев""",800061,43,3.63,1,3.68,,,,,19,3.58,,,,,,,,,4,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.72,,,,
ДОБРИЧ,БАЛЧИК,С.ОБРОЧИЩЕ,"Средно училище ""Христо Смирненски""",800065,16,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4.3,,,,
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,ГР.ГЕНЕРАЛ ТОШЕВО,"Средно училищe ""Никола Йонков Вапцаров""",800074,12,3.99,,,,,,,11,3.45,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,ГР.ГЕНЕРАЛ ТОШЕВО,"Професионална гимназия по земеделие ""Тодор Рачински""",800076,34,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.49,,,23,5.51,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Спортно училище Георги Стойков Раковски""",800012,16,03.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3.54,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Димитър Талев""",800013,25,04.01,,,,,,,,,,,13,3.57,,,,,,,,,,,,,,,,,13,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Свети Климент Охридски""",800015,62,4.15,,,,,,,,,,,4,3.64,,,,,2,3.57,3,5,,,,,,,,,12,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4.27,17,5.52,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Любен Каравелов""",800016,26,2.8,,,,,,,,,,,17,2.72,,,,,1,2,,,,,,,,,,,10,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Петко Рачов Славейков""",800017,21,3.94,,,,,,,,,,,,,9,3.47,,,,,,,,,,,,,,,12,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Средно училище ""Свети свети Кирил и Методий""",800018,26,4,,,,,,,12,3.4,,,,,,,,,,,,,,,,,,,,,14,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Природоматематическа гимназия ""Иван Вазов""",800019,78,4.29,6,2.63,,,1,2,5,4.36,2,4.92,,,2,4.59,2,3.12,6,3.2,,,,,,,,,,,57,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Езикова гимназия ""Гео Милев""",800020,151,4.8,1,3.19,1,5.36,2,4.65,3,3.33,,,3,3.91,,,,,3,4.43,,,,,,,,,20,5.88,76,05.04,,,1,3.67,,,,,,,37,4.66,,,3,3.28,,,,,1,4.21,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Професионална гимназия по техника и строителство ""Михаил Василиевич Ломоносов""",800021,16,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,1,5.78,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Професионална гимназия по ветеринарна медицина ""Проф. д-р Георги Павлов""",800022,27,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3.73,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Финансово-стопанска гимназия ""Васил Левски""",800023,103,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,5.29,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,Професионална гимназия по аграрно стопанство,800026,35,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,16,04.04,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Професионална гимназия по туризъм ""П. К. Яворов""",800028,66,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4.73,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Сдружение ""Частна профилирана гимназия по туризъм и предприемачество Райко Цончев""",800325,14,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.93,,,,,,,,,,,,,,,,,3,5.19,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,"Частно средно училище с профилирана подготовка по чужди езици и математика ""Леонардо да Винчи""",800326,5,4.51,,,,,1,04.07,,,,,,,,,,,,,,,,,,,,,,,4,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ГР.ДОБРИЧ,ГР.ДОБРИЧ,Професионална гимназия по транспорт обслужване и лека промишленост,800328,24,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4.44,,,,
ДОБРИЧ,КАВАРНА,ГР.КАВАРНА,"Средно училище ""Стефан Караджа""",800082,47,3.7,4,4.58,12,3.91,,,19,3.59,,,,,2,2.57,,,,,,,,,,,,,,,12,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,КАВАРНА,ГР.КАВАРНА,"Професионална земеделска гимназия ""Климент Аркадиевич Тимирязев""",800086,22,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3.28,,,7,5.25,,
ДОБРИЧ,КРУШАРИ,С.КРУШАРИ,"Средно училище ""Христо Смирненски""",800093,4,2,,,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ТЕРВЕЛ,ГР.ТЕРВЕЛ,"Средно училище "" Йордан Йовков """,800094,26,3.41,2,2.78,,,,,,,,,,,,,,,17,3.24,,,,,,,8,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОБРИЧ,ТЕРВЕЛ,ГР.ТЕРВЕЛ,"Професионална гимназия по техника и облекло ""Дочо Михайлов""",800105,30,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.54,,,,,,
ДОБРИЧ,ШАБЛА,ГР.ШАБЛА,"Средно училище ""Асен Златаров""",800109,7,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.96,,,,,,
КЪРДЖАЛИ,АРДИНО,ГР.АРДИНО,"Средно училище ""Васил Левски""",909201,42,3.92,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,23,3.81,,
КЪРДЖАЛИ,ДЖЕБЕЛ,ГР.ДЖЕБЕЛ,"Средно училище ""Христо Ботев""",909301,26,4.47,25,4.41,,,,,,,,,,,,,,,1,03.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,ДЖЕБЕЛ,ГР.ДЖЕБЕЛ,"Професионална гимназия ""Руска Пеева""",909314,29,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3.92,,,8,4.38,1,3.78
КЪРДЖАЛИ,ДЖЕБЕЛ,С.ПРИПЕК,"Средно училище ""Паисий Хилендарски""",909315,7,3.83,,,,,,,,,,,,,4,2.64,,,,,,,,,,,3,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КИРКОВО,С.БЕНКОВСКИ,"Средно училище ""Никола Йонков Вапцаров """,909402,37,04.07,,,,,,,11,2.7,,,,,20,5.26,,,1,3.23,,,,,,,5,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КИРКОВО,С.КИРКОВО,"Средно училище ""Отец Паисий""",909401,37,4.19,,,,,,,,,,,,,29,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.36,,,,,,
КЪРДЖАЛИ,КИРКОВО,С.ЧОРБАДЖИЙСКО,"Средно училище "" Христо Ботев """,909403,29,3.67,27,3.94,,,,,,,,,,,,,,,,,,,,,,,2,04.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КРУМОВГРАД,ГР.КРУМОВГРАД,"Средно училище ""Васил Левски""",909501,67,4.3,1,4.85,15,4.59,,,,,2,5.49,,,23,4.74,,,,,,,,,15,4.62,,,,,9,4.38,,,,,,,,,1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КРУМОВГРАД,ГР.КРУМОВГРАД,"Професионална гимназия по транспорт ""Христо Смирненски""",909503,25,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.69,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Владимир Димитров - Майстора""",909101,28,3.34,,,,,,,,,,,,,7,03.08,,,2,2,3,2.5,3,2.56,,,,,,,11,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Йордан Йовков""",909103,63,3.18,,,,,,,16,2.3,,,,,26,3.93,,,3,3.7,,,,,6,2.58,,,,,11,3.59,,,,,,,,,,,1,04.02,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Отец Паисий"" с природоматематическа насоченост",909105,81,4.16,9,3.97,,,,,,,,,,,34,4.57,3,05.01,11,3.82,,,,,,,,,,,30,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Средно училище ""Петко Рачов Славейков""",909106,103,4.32,3,4.17,7,4.46,,,21,03.02,,,,,21,4.13,,,,,,,,,,,,,,,54,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Езикова гимназия ""Христо Ботев""",909107,179,4.76,14,4,11,4.38,,,5,2.88,,,,,4,3.97,,,1,2,,,,,,,,,51,5.54,61,4.73,,,,,,,,,,,33,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия по икономика ""Алеко Константинов""",909108,88,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4.78,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""",909109,47,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3.8,,,18,04.06,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия ""Васил Левски""",909110,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.57,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия по облекло и дизайн ""Евридика""",909111,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.48,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия по електротехника и електроника ""Капитан Петко войвода""",909112,56,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,4.6,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,Професионална гимназия по селско и горско стопанство,909113,26,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3.64,,,,,,
КЪРДЖАЛИ,КЪРДЖАЛИ,ГР.КЪРДЖАЛИ,"Професионална гимназия по строителство ""Христо Смирненски""",909114,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3.64,,,,,,
КЪРДЖАЛИ,МОМЧИЛГРАД,ГР.МОМЧИЛГРАД,"Средно училище ""Никола Йонков Вапцаров""",909601,49,3.99,,,,,,,,,,,,,24,4.8,,,7,2.82,,,,,,,,,,,14,4.63,,,,,,,,,4,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,МОМЧИЛГРАД,ГР.МОМЧИЛГРАД,"Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""",909603,36,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.52,,,,,,
КЪРДЖАЛИ,МОМЧИЛГРАД,ГР.МОМЧИЛГРАД,Духовно Училище,909613,22,3.4,,,,,,,10,3.57,,,,,7,04.09,,,1,3.99,,,,,,,2,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЪРДЖАЛИ,ЧЕРНООЧЕНЕ,С.ЧЕРНООЧЕНЕ,"Средно училище ""Христо Смирненски""",909701,40,3.36,,,,,,,10,2.45,,,4,2.31,15,4.99,,,,,,,,,,,6,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,"Средно училище ""Христо Ботев""",1000016,9,2.11,,,,,,,,,,,,,4,2,,,1,3.12,,,,,4,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,"Средно училище ""Доктор Петър Берон""",1000018,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.48,,,,,,
КЮСТЕНДИЛ,БОБОВ ДОЛ,ГР.БОБОВ ДОЛ,Професионална гимназия,1002451,22,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,04.07,,
КЮСТЕНДИЛ,ДУПНИЦА,ГР.ДУПНИЦА,"Средно езиково училище ""Св. Паисий Хилендарски""",1000035,48,4.35,,,3,4.11,,,5,2.99,,,,,5,3.93,,,,,,,,,,,,,20,5.59,14,4.86,,,,,,,,,,,,,,,,,1,4.78,,,,,,,,,,,,,,,,,,,,
