"Област","Община","Населено място","Училище","Код по Админ","Бр. БЕЛ(ООП) З","Ср.усп.  БЕЛ(ООП) З","Бр. Мат(ПП) З","Ср.усп. Мат(ПП) З","Бр. Ист(ПП) З","Ср.усп. Ист(ПП) З","Бр. ФА(ПП) З","Ср.усп. ФА(ПП) З","Бр. ГИ(ПП) З","Ср.усп. ГИ(ПП) З","Бр. ХООС(ПП) З","Ср.усп. ХООС(ПП) З","Бр. Фил(ПП) З","Ср.усп. Фил(ПП) З","Бр. БЗО(ПП) З","Ср.усп. БЗО(ПП) З","Бр. Инф(ПП) З","Ср.усп. Инф(ПП) З","Бр. ИТ(ПП) З","Ср.усп. ИТ(ПП)З","Бр. МУЗ(ПП) З","Ср.усп. МУЗ(ПП) З","Бр. ИИ(ПП) З","Ср.усп. ИИ(ПП) З","Бр. Пр(ПП) З","Ср.усп. Пр(ПП) З","Бр. АЕ(ПП) B1-З","Ср.усп. АЕ(ПП) B1-З","Бр. АЕ(ПП) B1.1-З","Ср.усп. АЕ(ПП) B1.1-З","Бр. АЕ(ПП) B2-З","Ср.усп.  АЕ(ПП) B2-З","Бр. РЕ(ПП) B1-З","Ср.усп. РЕ(ПП) B1-З","Бр. РЕ(ПП) B1.1-З","Ср.усп. РЕ(ПП) B1.1-З","Бр. РЕ(ПП) B2-З","Ср.усп.  РЕ(ПП) B2-З","Бр. НЕ(ПП) B1-З","Ср.усп. НЕ(ПП) B1-З","Бр. НЕ(ПП) B1.1-З","Ср.усп. НЕ(ПП) B1.1-З","Бр. НЕ(ПП) B2-З","Ср.усп. НЕ(ПП) B2-З","Бр. ИЕ(ПП) B1-З","Ср.усп.  ИЕ(ПП) B1-З","Бр. ИЕ(ПП) B1.1-З","Ср.усп. ИЕ(ПП) B1.1-З","Бр. ИЕ(ПП) B2-З","Ср.усп. ИЕ(ПП) B2-З","Бр. ФЕ(ПП) B1-З","Ср.усп. ФЕ(ПП) B1-З","Бр. ФЕ(ПП) B1.1-З","Ср.усп. ФЕ(ПП) B1.1-З","Бр. ФЕ(ПП)  B2-З","Ср.усп. ФЕ(ПП)  B2-З","Бр. ИТЕ(ПП) B1-З","Ср.усп. ИТЕ(ПП) B1-З","Бр. ИТЕ(ПП) B1.1-З","Ср.усп.  ИТЕ(ПП) B1.1-З","Бр. ИТЕ(ПП) B2-З","Ср.усп. ИТЕ(ПП) B2-З","Бр. ДИППК З","Ср.усп. ДИППК З","Бр. ДИППК-Пр З","Ср.усп. ДИППК-Пр З"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","102014","107","3,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","5,03"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","44","3,97","","","8","4,13","","","17","4,26","","","","","","","","","","","","","","","","","18","5,48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Профилирана гимназия ""Пейо Крачолов Яворов""","104001","122","4,27","19","4,47","1","2","","","15","3,89","","","11","4,29","14","4,89","","","","","","","","","","","40","5,18","","","21","4,96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","14","4,31","","","1","4,36","","","7","3,48","","","","","","","","","","","","","","","","","5","5,83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","26","4,46","","","","","","","","","","","","","12","3,2","","","1","3,12","","","","","2","3,62","11","5,65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Разложка професионална гимназия ""Никола Стойчев""","102012","46","3,59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","5,26"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по механизация на селското стопанствo","102017","25","2,68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","4,24","",""
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по транспорт","102113","42","3,36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","5,34"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","53","4,61","","","","","","","","","","","","","","","","","7","4,21","","","","","","","","","","","46","4,81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Професионална техническа гимназия","102007","12","2,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2,98","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","102013","132","4,13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","4,56","106","5,12"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Профилирана гимназия ""Яне Сандански""","104101","80","3,95","","","1","4,39","","","","","","","8","3,84","1","4,34","","","4","2,44","","","7","3,13","","","","","","","52","4,34","","","2","3,93","","","","","1","5,6","","","","","1","6","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Вечерна профилирана гимназия","108021","7","2,43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Спортно училище","109185","10","2,35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","4,2","",""
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","Средно училище ""Христо Ботев""","109030","18","3,82","3","3,99","","","","","","","","","","","13","3,89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","Средно училище ""Христо Смирненски""","109055","28","4,3","","","","","","","13","4,54","1","4,53","","","14","4,17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","Средно училище ""Св. Св. Кирил и Методий""","109050","35","3,77","","","","","","","22","3,64","1","3,21","","","","","","","","","","","","","","","11","5,18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","Средно училище ""Свети Климент Охридски""","109037","8","4,19","","","","","3","4,21","","","","","","","5","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","Средно училище ""Св. Св. Кирил и Методий""","103133","39","3,09","","","","","","","21","3,04","","","","","17","2,68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","Средно училище ""Св.св.Кирил и Методий""","109102","12","2,53","","","","","","","8","2,69","","","","","","","","","","","","","","","2","2,95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","Средно училище ""Св. Паисий Хилендарски""","108100","8","2,63","","","","","","","8","2,72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","Средно училище ""Никола Йонков Вапцаров""","108001","41","3,62","2","2,69","","","","","","","","","","","5","2,44","","","","","","","","","","","33","4,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","Средно училище Св. Паисий Хилендарски""","108004","29","4,13","","","","","","","","","","","","","25","3,78","","","","","","","","","","","4","5,7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Професионална гимназия ""Петко Рачов Славейков""","102011","43","3,23","","","","","","","","","","","13","3,74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","5,04"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Средно училище ""Свети Свети Кирил и Методий""","107090","34","3,64","","","18","3,42","","","11","2,56","","","","","","","","","","","","","","","","","","","","","5","4,69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Христо Ботев""","200112","74","3,95","","","1","4,36","","","4","4,77","","","1","4,59","38","3,91","","","15","3,83","","","","","","","5","5,46","","","10","4,63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Никола Йонков Вапцаров""","200113","53","3,67","","","","","","","39","4,25","","","","","","","","","","","","","","","","","","","","","14","4,42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","АЙТОС","ГР.АЙТОС","Професионална гимназия по селско стопанство ""Златна нива""","200114","45","2,44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","4,38","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Иван Вазов""","200227","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище "" Йордан Йовков""","200228","3","2,66","","","","","","","1","2","","","2","3,35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Епископ Константин Преславски""","200229","28","3,62","","","","","","","4","3,46","","","","","","","","","12","2,63","","","","","","","","","","","10","4,64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище Добри Чинтулов""","200231","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Петко Росен""","200233","18","2,22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","4,16","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Св. св. Кирил и Методий""","200234","74","3,56","","","","","","","","","","","16","4,23","","","","","9","2,41","","","12","3,4","","","","","","","35","3,85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана гимназия за романски езици ""Георги Стойков Раковски""","200235","181","4,65","","","8","4,7","","","","","3","2,58","","","3","3,8","","","1","4,22","","","2","4,27","","","","","145","5,38","","","","","","","","","","","","","","","","","","","10","4,85","","","","","4","4,11","","","","","5","4,25","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Английска езикова гимназия ""Гео Милев""","200236","161","4,92","6","3,3","3","5,26","","","","","","","","","","","","","","","","","","","","","","","","","151","5,17","","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Немска езикова гимназия ""Гьоте""","200237","157","5,24","5","4,1","1","4,76","","","","","","","","","","","","","","","","","","","","","","","106","5,76","","","","","","","","","","","","","45","5,42","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана гимназия за чужди езици ""Васил Левски""","200238","153","4,39","","","5","4,63","","","12","4,36","","","","","15","3,22","","","9","3,47","","","","","","","","","55","5,1","","","","","","","56","4,41","","","1","2","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Профилирана природоматематическа гимназия ""Академик Никола Обрешков""","200239","157","5,29","88","5,14","","","","","","","","","","","","","5","2,94","3","4,02","","","","","","","","","","","61","5,33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Спортно училище ""Юрий Гагарин""","200240","40","2,79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","4,34","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","200242","182","3,39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","4,77","15","5,11"
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","200243","23","2,76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","19","4,88"
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по механоелектротехника и електроника","200244","142","3,56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142","4,59","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","200245","142","3,99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","4,09","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Търговска гимназия","200246","156","4,63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","4,44","55","4,5"
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","200247","112","3,06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","4,12","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","200248","101","3,47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","2,84","28","4,79"
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по транспорт","200249","58","2,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","3,27","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална техническа гимназия","200250","27","2,54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","3,77","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""","200252","13","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4,94","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Вечерно средно училище "" Захари Стоянов""","200255","19","2,66","","","3","3,44","","","1","3,3","","","11","3,32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Частна профилирана гимназия с изучаване на английски език Британика 1998","200258","4","4,16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","БУРГАС","ГР.БУРГАС","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","2902103","58","4,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","5,06","",""
"БУРГАС","КАМЕНО","ГР.КАМЕНО","Средно училище ""Христо Ботев""","200308","8","2,33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","2,58","",""
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Средно училище ""Св.Св.Кирил и Методий""","200411","48","4,03","","","","","","","9","4,13","","","","","13","3,68","","","","","","","","","12","3,79","","","","","13","4,31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Средно училище ""Христо Ботев""","200412","63","3,61","2","2,86","","","","","12","3,9","","","12","3,73","21","2,78","","","","","","","","","","","","","","","15","4,17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Професионална гимназия по селско стопанство","200413","46","2,27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","4,22","",""
