"Резултати по училища от националното външно оценяване за X клас - учебна 2022/2023 година","","","","","","","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","129","65.83","128","48.95"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","102016","73","57.52","70","70.74"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","34","39.41","34","29.1"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","16","25.69","14","45.52"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","13","47.04","13","36.75"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","14","34.71","14","22.82"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","37","38.93","38","46.77"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","23","43.52","22","26.48"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","102009","53","19.58","51","20.24"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","102014","99","41.72","100","20.4"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","43","50.99","42","36.48"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Профилирана гимназия ""Пейо Крачолов Яворов""","104001","119","52.83","118","33.18"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","18","20.17","18","15.56"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","18","33.28","18","18.17"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","25","49.66","25","46.63"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Разложка професионална гимназия ""Никола Стойчев""","102012","40","42.48","38","50.05"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по механизация на селското стопанствo","102017","32","29.19","31","41.03"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Професионална гимназия по транспорт","102113","47","33.8","44","36.14"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Средно училище ""Братя Петър и Иван Каназиреви""","103501","59","65.74","59","46.58"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Професионална техническа гимназия","102007","18","18.89","18","16.22"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","102013","151","50.02","151","30.09"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Профилирана гимназия ""Яне Сандански""","104101","117","45.26","110","36.44"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Спортно училище","109185","18","31.58","18","18.25"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","Средно училище ""Христо Ботев""","109030","34","56.03","33","60.33"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","Средно училище ""Христо Смирненски""","109055","29","52.07","29","54.91"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","Обединено училище ""Св. Св. Кирил и Методий""","109054","11","40","11","39.27"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","Средно училище ""Св. Св. Кирил и Методий""","109050","16","45.44","16","23.58"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","Средно училище ""Свети Климент Охридски""","109037","22","46.45","22","22.53"
