"Област","Община","Населено място","Училище","Код по АДМИН","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"ВАРНА","ПРОВАДИЯ","ГР.ПРОВАДИЯ","Средно училище ""Димитър Благоев""","400148","32","65,86","32","51,78"
"ВАРНА","ПРОВАДИЯ","С.БЛЪСКОВО","Обединено училище ""Св.Св.Кирил и Методий""","400152","10","35,5","10","34,2"
"ВАРНА","ПРОВАДИЯ","С.БОЗВЕЛИЙСКО","Основно училище ""Васил Левски""","400153","10","59,85","10","49,3"
"ВАРНА","ПРОВАДИЯ","С.ГРАДИНАРОВО","Основно училище ""Св. Св. Кирил и Методий""","400155","14","29,57","14","38,43"
"ВАРНА","ПРОВАДИЯ","С.ЖИТНИЦА","Основно училище ""Христо Ботев""","400156","9","33","9","32,78"
"ВАРНА","ПРОВАДИЯ","С.СЛАВЕЙКОВО","Основно училище ""Асен Златаров""","400159","2","47,5","2","72"
"ВАРНА","ПРОВАДИЯ","С.СНЕЖИНА","Начално училище ""Христо Ботев""","400160","8","39,88","8","33,75"
"ВАРНА","СУВОРОВО","ГР.СУВОРОВО","Средно училище ""Никола Йонков Вапцаров""","400163","23","53,8","22","41"
"ВАРНА","СУВОРОВО","С.НИКОЛАЕВКА","Основно училище ""Христо Ботев""","400164","5","12,9","4","12,5"
"ВАРНА","СУВОРОВО","С.ЧЕРНЕВО","Основно училище ""Христо Ботев""","400165","12","58,29","12","36,25"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Основно училище ""Христо Ботев""","300101","11","54,5","11","19,36"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Основно училище ""Бачо Киро""","300102","112","81,2","113","68,46"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Основно училище ""Св. Патриарх Евтимий""","300103","112","82,83","112","72,24"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Основно училище ""Димитър Благоев""","300104","40","80,75","40","65,03"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Основно училище ""Петко Рачев Славейков""","300105","50","77,72","50","62,82"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Емилиян Станев""","300124","138","81,62","138","67,88"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Вела Благоева""","300125","91","79,4","91","56,76"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Владимир Комаров""","300126","11","76,64","11","53,27"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Георги Стойков Раковски""","300127","11","61,91","12","41,58"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ДЕБЕЛЕЦ","Основно училище ""Д-р Петър Берон""","300109","22","78,57","22","55,59"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.КИЛИФАРЕВО","Основно училище "" Неофит Рилски ""","300116","8","62,13","8","45,88"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.БАЛВАН","Основно училище ""Св. Иван Рилски""","300110","4","28,38","4","21,5"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.ВОДОЛЕЙ","Основно училище ""Христо Смирненски""","300112","10","20,65","11","15,45"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.ЛЕДЕНИК","Основно училище ""Васил Левски""","300106","2","34,5","2","17"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.РЕСЕН","Основно училище ""Христо Ботев""","300111","15","70,17","15","45,07"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.РУСАЛЯ","Частно основно училище ""Димитър Екимов""","300144","7","49,86","7","23,71"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.САМОВОДЕНЕ","Основно училище ""Христо Смирненски""","300113","3","76,33","3","37,33"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","С.ЦЕРОВА КОРИЯ","Основно училище ""Петко Рачев Славейков""","300114","3","50,5","3","49"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Основно училище ""Иван Вазов""","300201","69","74,36","69","61,45"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Основно училище ""Св. св. Кирил и Методий""","300202","37","73,85","37","55,27"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Основно училище ""Св. Паисий Хилендарски""","300205","19","31,66","19","10,95"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Средно училище ""Георги Измирлиев""","300216","107","77,17","107","58,78"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Средно училище ""Вичо Грънчаров""","300217","21","73,24","21","50,81"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ДОЛНА ОРЯХОВИЦА","Основно училище ""Св. св. Кирил и Методий""","300208","17","72,35","17","54,65"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","С.ВЪРБИЦА","Основно училище ""Васил Левски""","300210","3","21,67","3","14"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","С.ДРАГАНОВО","Основно училище ""Климент Охридски""","300211","4","34,75","4","37"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","С.ПИСАРЕВО","Основно училище ""Отец Паисий""","300209","4","26,88","4","14,5"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","С.ПОЛИКРАЙЩЕ","Основно училище ""Св.Св.Кирил и Методий""","300212","7","48,14","7","37,71"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","С.ПЪРВОМАЙЦИ","Основно училище ""Елин Пелин""","300206","11","69,18","11","44"
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","ГР.ЕЛЕНА","Начално училище ""Иларион Макариополски""","300301","10","52,25","9","28"
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","ГР.ЕЛЕНА","Средно училище ""Иван Николов Момчилов""","300305","16","74,78","16","64,31"
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","С.БЕБРОВО","Основно училище ""Христо Ботев""","300302","4","57,13","4","34,5"
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","С.КОНСТАНТИН","Основно училище ""Отец Паисий""","300303","7","40,07","7","24,29"
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","С.МАЙСКО","Обединено училище ""Отец Паисий""","300304","11","39,82","11","51,27"
"ВЕЛИКО ТЪРНОВО","ЗЛАТАРИЦА","ГР.ЗЛАТАРИЦА","Средно училище ""Св. св. Кирил и Методий""","300404","22","48,7","23","29,52"
"ВЕЛИКО ТЪРНОВО","ЗЛАТАРИЦА","С.СРЕДНО СЕЛО","Основно Училище ""Васил Левски""","300403","1","42,5","1","30"
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","ГР.ЛЯСКОВЕЦ","Средно училище ""Максим Райкович""","300507","43","66,62","43","47,26"
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","С.ДЖУЛЮНИЦА","Обединено училище ""Петко Рачев Славейков""","300506","9","49,83","10","35,9"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.БЯЛА ЧЕРКВА","Основно училище ""Бачо Киро""","300604","9","44,83","9","22"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","Основно училище ""Св. Климент Охридски""","300602","43","66,26","43","42,7"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","Средно училище ""Бачо Киро""","300618","56","69,8","56","46,34"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","С.БАТАК","Основно училище ""Св.Св.Кирил и Методий""","300612","6","44,33","6","57,17"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","С.ВЪРБОВКА","Основно училище ""Филип Тотю""","300607","18","34,53","18","17,17"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","ГР.ПОЛСКИ ТРЪМБЕШ","Средно училище ""Цанко Церковски""","300711","52","69,55","54","48,61"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","С.ПЕТКО КАРАВЕЛОВО","Основно училище ""Васил Левски""","300708","7","48","7","30"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","С.РАДАНОВО","Основно училище ""Св.Св.Кирил и Методий""","300704","16","55,56","16","39,81"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Основно училище ""Филип Сакелариевич""","300801","9","43,5","9","21,78"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Цветан Радославов""","300814","30","76,35","30","61,2"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Николай Катранов""","300815","63","70,59","63","54,1"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Димитър Благоев""","300816","65","77,02","65","63,42"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.АЛЕКОВО","Основно училище ""Христо Ботев""","300803","5","24,9","5","15,8"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.МОРАВА","Основно училище ""Свети свети Кирил и Методий""","300808","1","30,5","1","6"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.ОВЧА МОГИЛА","Основно училище ""Св. Св. Кирил и Методий""","300809","9","62,17","9","37,89"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.ОРЕШ","Основно училище ""Христо Ботев""","300810","5","70,7","5","50,6"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","ГР.СТРАЖИЦА","Средно училище ""Ангел Каралийчев""","300911","47","59,7","48","58,96"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.АСЕНОВО","Основно училище ""Свети свети Кирил и Методий""","300904","10","54,6","10","42,6"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.КАМЕН","Средно училище ""Св. Климент Охридски""","300916","14","42,46","14","26"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.КЕСАРЕВО","Основно училище ""Николай Райнов""","300909","6","36,33","6","30"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.СУШИЦА","Начално училище ""Отец Паисий""","300908","2","28,75","2","10"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.ЦАРСКИ ИЗВОР","Начално училище ""Иван Вазов""","300901","1","41","2","28"
"ВЕЛИКО ТЪРНОВО","СУХИНДОЛ","ГР.СУХИНДОЛ","Средно училище ""Св. Климент Охридски""","300991","10","67,9","10","62,3"
"ВИДИН","БЕЛОГРАДЧИК","ГР.БЕЛОГРАДЧИК","НУ ""Васил Левски""","500203","46","45,08","44","33,41"
"ВИДИН","БЕЛОГРАДЧИК","С.РАБИША","ОУ ""Васил Евстатиев Априлов""","500204","2","12","2","10"
"ВИДИН","БОЙНИЦА","С.БОЙНИЦА","ОУ ""Васил Левски""","500301","8","26","7","14"
"ВИДИН","БРЕГОВО","ГР.БРЕГОВО","СУ ""Св. Св. Кирил и Методий""","500401","7","53,43","7","30"
"ВИДИН","ВИДИН","ГР.ВИДИН","ОУ ""Любен Каравелов""","500104","67","80,64","67","55,21"
"ВИДИН","ВИДИН","ГР.ВИДИН","ОУ ""Епископ Софроний Врачански""","500111","25","41,7","24","36,92"
"ВИДИН","ВИДИН","ГР.ВИДИН","ОУ ""Отец Паисий""","500112","5","57,2","5","34,6"
"ВИДИН","ВИДИН","ГР.ВИДИН","ОУ ""Св. Климент Охридски""","500113","16","58,69","16","37,88"
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Цар Симеон Велики""","503132","79","82,58","79","60,24"
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Св. св. Кирил и Методий""","503241","33","63,59","32","38,66"
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Петко Рачов Славейков""","503242","38","68,07","39","46,26"
"ВИДИН","ВИДИН","ГР.ВИДИН","ОУ ""Иван Вазов""","503312","78","81,49","78","59,68"
"ВИДИН","ВИДИН","ГР.ДУНАВЦИ","ОУ ""Христо Ботев ""","503311","7","45,86","7","13,71"
"ВИДИН","ГРАМАДА","ГР.ГРАМАДА","СУ ""Христо Ботев""","500501","3","58","3","48"
"ВИДИН","ДИМОВО","ГР.ДИМОВО","СУ ""Св. св. Кирил и Методий""","500103","8","51,56","8","33,5"
"ВИДИН","ДИМОВО","С.АРЧАР","СУ ""Христо Ботев""","500603","13","32,54","13","19"
"ВИДИН","ДИМОВО","С.ОРЕШЕЦ (ГАРА ОРЕШЕЦ)","ОУ ""Димитър Благоев""","500604","10","51,45","10","44,5"
"ВИДИН","КУЛА","ГР.КУЛА","СУ ""Васил Левски""","500701","14","63,64","14","38"
"ВИДИН","МАКРЕШ","С.РАКОВИЦА","ОУ ""Христо Ботев""","500802","2","12,5","2","14"
"ВИДИН","НОВО СЕЛО","С.НОВО СЕЛО","СУ ""Св. св. Кирил и Методий""","500901","5","30,7","5","34,8"
"ВИДИН","РУЖИНЦИ","С.БЕЛО ПОЛЕ","ОУ ""Св. св. Кирил и Методий""","501004","6","18,92","6","11,67"
"ВИДИН","РУЖИНЦИ","С.ДРЕНОВЕЦ","СУ ""Никола Йонков Вапцаров""","501003","15","39,3","16","21,31"
"ВИДИН","РУЖИНЦИ","С.РУЖИНЦИ","СУ ""Никола Й. Вапцаров""","501010","13","31,31","14","31,86"
"ВИДИН","ЧУПРЕНЕ","С.ГОРНИ ЛОМ","ОУ ""Христо Ботев""","501102","4","46,13","4","39,25"
"ВИДИН","ЧУПРЕНЕ","С.ЧУПРЕНЕ","ОУ ""Акад. Михаил Димитров""","501101","3","27,5","3","18"
"ВРАЦА","БОРОВАН","С.БОРОВАН","Основно училище ""Отец Паисий""","602003","16","61,56","16","31,56"
"ВРАЦА","БОРОВАН","С.ДОБРОЛЕВО","Основно училище "" Свети свети Кирил и Методий""","602001","12","53,29","12","32,5"
"ВРАЦА","БОРОВАН","С.МАЛОРАД","Основно училище ""Свети свети Кирил и Методий""","602002","16","48,97","16","32,13"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Начално училище ""Христо Ботев""","601007","40","75,85","40","54,4"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Начално училище ""Цани Гинчев""","601008","32","61,88","33","33,03"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Начално училище ""Христо Смирненски""","601009","17","49,53","18","29,94"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Средно училище ""Васил Левски""","603024","22","52,75","22","37,55"
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАБАРЕ","Средно училище ""Христо Ботев""","602022","10","42,8","10","27,6"
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАЛИЧЕ","Средно училище ""Христо Ботев""","603025","12","41,58","12","19,58"
"ВРАЦА","БЯЛА СЛАТИНА","С.ПОПИЦА","Основно училище ""Св.св.Кирил и Методий""","602018","13","55,12","13","40,62"
"ВРАЦА","БЯЛА СЛАТИНА","С.ТЪРНАВА","Основно училище ""Христо Ботев""","601013","19","57,05","19","30,11"
"ВРАЦА","БЯЛА СЛАТИНА","С.ТЪРНАК","Основно училище ""Георги Стойков Раковски""","601014","4","45,38","4","34,75"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Начално училище ""Иванчо Младенов""","601031","92","82,96","92","70,14"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Начално училище ""Иван Вазов""","601035","86","82,14","83","61,6"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Начално училище ""Свети Софроний Врачански""","601037","95","81,27","94","62,69"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Основно училище ""Васил Левски""","602041","32","51,2","32","37,09"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Средно училище ""Отец Паисий""","603057","19","51,05","19","27,05"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Средно училище ""Христо Ботев""","603058","57","80,31","57","63,81"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Средно училище ""Васил Кънчов""","603059","17","71,29","16","42,94"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Средно училище ""Никола Войводов""","603070","60","71,01","60","44,13"
"ВРАЦА","ВРАЦА","С.БАНИЦА","Обединено училище ""Христо Ботев""","602052","10","68,15","10","44,7"
"ВРАЦА","ВРАЦА","С.ДЕВЕНЕ","Обединено училище ""Свети свети Кирил и Методий""","602045","15","35,37","15","27,53"
"ВРАЦА","ВРАЦА","С.ТИШЕВИЦА","Обединено училище ""Св.Климент Охридски""","601040","7","48,57","7","29,57"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","Начално училище ""Васил Левски""","601071","8","42,19","7","56,43"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","Средно училище ""Христо Ботев""","603076","51","69,25","51","58,04"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","Средно училище ""Св. св. Кирил и Методий""","603077","52","77,33","52","53,31"
"ВРАЦА","КОЗЛОДУЙ","С.БУТАН","Средно училище ""Св. Св. Кирил и Методий""","602073","34","44,09","31","27,06"
"ВРАЦА","КОЗЛОДУЙ","С.ГЛОЖЕНЕ","Основно училище ""Христо Ботев""","602075","17","48,15","17","28,24"
"ВРАЦА","КОЗЛОДУЙ","С.ХЪРЛЕЦ","Основно училище ""Васил Евстатиев Априлов""","602074","8","49,25","8","38"
"ВРАЦА","КРИВОДОЛ","ГР.КРИВОДОЛ","Средно училище ""Св. св. Кирил и Методий""","603087","27","51,85","27","27,48"
"ВРАЦА","КРИВОДОЛ","С.КРАВОДЕР","Обединено училище ""Св. св. Кирил и Методий""","602083","14","27,32","14","19,79"
"ВРАЦА","КРИВОДОЛ","С.ЛЕСУРА","Основно училище ""Васил Левски""","602084","10","43,4","10","31,5"
"ВРАЦА","КРИВОДОЛ","С.РАКЕВО","Основно училище ""Васил Левски""","602086","7","37,71","7","21,71"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","Основно училище ""Свети Свети Кирил и Методий""","602092","20","66,23","21","46,76"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","Основно училище ""Христо Ботев""","602093","54","79,33","54","58,93"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","Средно училище ""Иван Вазов""","603098","23","58,02","23","50,13"
"ВРАЦА","МЕЗДРА","С.ЗВЕРИНО","Средно училище ""Свети Климент Охридски""","603099","17","65,97","17","47,82"
"ВРАЦА","МЕЗДРА","С.МОРАВИЦА","Основно училище ""Васил Кънчов""","602094","2","47,25","2","35"
"ВРАЦА","МИЗИЯ","ГР.МИЗИЯ","Основно училище ""Цанко Церкoвски""","602106","31","69,08","31","51,84"
"ВРАЦА","МИЗИЯ","С.КРУШОВИЦА","Основно училище ""Христо Ботев""","602104","13","46,85","13","25,15"
"ВРАЦА","МИЗИЯ","С.СОФРОНИЕВО","Основно училище ""Отец Паисий""","602107","8","47,69","8","22,5"
"ВРАЦА","ОРЯХОВО","ГР.ОРЯХОВО","Начално училище ""Св.Св.Кирил и Методий""","601110","25","78,82","23","61,65"
"ВРАЦА","ОРЯХОВО","ГР.ОРЯХОВО","Начално училище ""Д-р Петър Берон""","601111","11","34,18","11","18,09"
"ВРАЦА","ОРЯХОВО","С.ОСТРОВ","Основно училище ""Христо Ботев""","601113","8","61,31","9","30,22"
"ВРАЦА","ОРЯХОВО","С.СЕЛАНОВЦИ","Основно училище ""Никола Йонков Вапцаров""","602115","16","57,91","16","25,38"
"ВРАЦА","РОМАН","ГР.РОМАН","Начално училище ""Петко Рачов Славейков""","601119","26","64,27","26","45,5"
"ВРАЦА","РОМАН","С.КАМЕНО ПОЛЕ","Основно училище ""Свети Свети Кирил и Методий""","602121","1","52","1","50"
"ВРАЦА","ХАЙРЕДИН","С.МИХАЙЛОВО","Основно училище ""Горан Червеняшки""","602128","11","47,5","12","34,58"
"ВРАЦА","ХАЙРЕДИН","С.ХАЙРЕДИН","Средно училище ""Васил Воденичарски""","603130","11","63,05","11","42,55"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Начално училище ""Васил Левски""","700101","38","69,8","38","56,08"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Основно училище ""Ран Босилек""","700102","74","83,19","74","68,46"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Основно училище ""Неофит Рилски""","700103","47","80,49","48","65,13"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","VI Основно училище ""Иван Вазов""","700106","17","59,41","17","34,59"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Основно училище""Свети Свети Кирил и Методий""","700108","102","81,2","102","64,86"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Основно училище ""Христо Ботев""","700112","32","69,78","32","45,34"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Средно училище ""Отец Паисий""","700113","35","68,99","35","51,57"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","Средно училище ""Райчо Каролев""","700114","65","74,97","65","62,85"
"ГАБРОВО","ДРЯНОВО","ГР.ДРЯНОВО","Средно училище ""Максим Райкович""","700204","50","57,45","50","40,1"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","Основно училище ""Христо Ботев""","700307","18","46,22","18","28,78"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","Основно училище ""Стефан Пешев""","700308","82","77,04","82","51,73"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","Средно училище ""Васил Левски""","700318","81","72,84","81","58,67"
"ГАБРОВО","СЕВЛИЕВО","С.ГРАДНИЦА","Основно училище ""Свети Свети Кирил и Методий""","700312","13","53,54","13","43,62"
"ГАБРОВО","СЕВЛИЕВО","С.ДОБРОМИРКА","Основно училище ""Христо Ботев""","700310","6","30,17","6","10,33"
"ГАБРОВО","СЕВЛИЕВО","С.ДУШЕВО","Основно училище ""Св. Св. Кирил и Методий""","700311","15","25,83","15","16"
"ГАБРОВО","СЕВЛИЕВО","С.КРАМОЛИН","Основно училище""Свети Солунски братя""","700314","1","21","1","14"
"ГАБРОВО","СЕВЛИЕВО","С.ПЕТКО СЛАВЕЙКОВ","Основно училище ""Св.Св.Кирил и Методий""","700315","7","47,79","7","33,43"
"ГАБРОВО","СЕВЛИЕВО","С.ШУМАТА","Основно училище""Васил Левски""","700317","11","25,32","12","15,83"
"ГАБРОВО","ТРЯВНА","ГР.ПЛАЧКОВЦИ","Основно училище ""Васил Левски""","700402","3","75,5","3","47"
"ГАБРОВО","ТРЯВНА","ГР.ТРЯВНА","Основно училище ""Професор Пенчо Николов Райков""","700401","7","76,86","7","55,29"
"ГАБРОВО","ТРЯВНА","ГР.ТРЯВНА","Средно училище ""Петко Рачев Славейков""","700403","42","79,07","42","62,1"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","Основно училище ""Свети Свети Кирил и Методий""","800059","23","62","23","41,87"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","Основно училище Антим","800060","56","78,7","57","51,88"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","Средно училище ""Христо Ботев""","800061","15","52,47","16","45,31"
"ДОБРИЧ","БАЛЧИК","С.ОБРОЧИЩЕ","Средно училище ""Христо Смирненски""","800065","13","53,19","13","32"
"ДОБРИЧ","БАЛЧИК","С.СЕНОКОС","Основно училище""Георги Раковски""","800057","10","43,2","10","28,7"
"ДОБРИЧ","БАЛЧИК","С.СОКОЛОВО","Основно училище ""Васил Левски""","800056","2","68,5","3","50,67"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","ГР.ГЕНЕРАЛ ТОШЕВО","Основно училище ""Христо Смирненски""","800073","16","40,5","15","24,47"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","ГР.ГЕНЕРАЛ ТОШЕВО","Средно училищe ""Никола Йонков Вапцаров""","800074","27","69,2","26","44,58"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.КРАСЕН","Основно училище ""Йордан Йовков""","800071","4","44,88","4","27,5"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.ПРЕСЕЛЕНЦИ","Основно училище ""Васил Левски""","800069","10","28,5","10","23,4"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.СПАСОВО","Основно училище ""Йордан Йовков""","800068","5","27","5","20,6"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Обединено училище ""Йордан Йовков""","800003","16","28,53","16","31,25"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Никола Йонков Вапцаров""","800004","13","28,15","14","19,79"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Панайот Волов""","800007","11","44,14","13","43,15"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Стефан Караджа""","800008","15","74,6","15","58,13"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Хан Аспарух""","800009","62","87,76","62","69,58"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Христо Смирненски""","800010","26","43,56","27","30,85"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Основно училище ""Христо Ботев""","800011","59","79,36","60","67,7"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Средно училище ""Димитър Талев""","800013","56","80,01","56","63,29"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Средно училище ""Свети Климент Охридски""","800015","97","79,5","97","56,96"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Средно училище ""Любен Каравелов""","800016","37","84,36","37","69,41"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Средно училище ""Петко Рачов Славейков""","800017","87","82,13","87","67,47"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","Средно училище ""Свети свети Кирил и Методий""","800018","65","81,65","64","63,44"
