"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 200","Природо-математическа гимназия  ""Акад. Сергей Корольов""","160","5,02","26","4,97","6","5,90","1","5,29","10","4,47","9","5,50","14","4,58","30","5,02","61","5,48","2","5,88","1","5,78","0","0,00","0","0,00","0","0,00","160","5,19","320","5,10"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101","4,43","1","3,22","3","4,18","0","0,00","5","3,44","1","3,17","27","4,25","22","4,11","39","4,97","0","0,00","0","0,00","5","5,25","0","0,00","0","0,00","103","4,48","204","4,45"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 070","Седмо средно училище ""Кузман Шапкарев""","16","3,88","1","3,45","1","5,64","0","0,00","4","3,34","0","0,00","3","4,25","3","3,67","5","4,20","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","17","3,95","33","3,92"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 250","Средно училище с изучаване  на чужди езици ""Свети Климент Охридски""","39","4,02","0","0,00","0","0,00","0","0,00","1","2,88","0","0,00","12","4,01","9","3,33","17","4,60","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","39","4,08","78","4,05"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 880","Средно училище ""Иван Вазов""","1","2,81","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,14","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,14","2","2,98"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","102 060","Пето средно училище  ""Георги Измирлиев""","22","3,48","0","0,00","0","0,00","0","0,00","1","3,67","0","0,00","0","0,00","18","3,70","2","5,16","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","21","3,83","43","3,65"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 001","Неврокопска професионална гимназия ""Димитър Талев""","140","4,07","0","0,00","0","0,00","0","0,00","2","4,27","0","0,00","0","0,00","1","5,24","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","4,59","143","4,08"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 016","Професионална гимназия по механизация  на селското стопанство ""Пейо Крачолов Яворов""","34","3,23","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,53","0","0,00","1","4,59","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","2","4,06","36","3,28"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 002","Природо-математическа гимназия ""Яне Сандански""","143","5,06","16","5,38","7","4,68","0","0,00","6","4,40","0","0,00","40","5,05","21","5,26","52","5,38","1","3,45","0","0,00","0","0,00","0","0,00","0","0,00","143","5,18","286","5,12"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","103 401","Средно училище  ""Св. Св. Кирил и Методий""","34","3,89","1","4,41","0","0,00","0","0,00","0","0,00","4","5,44","0","0,00","27","4,15","1","4,73","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","33","4,33","67","4,11"
