"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ Ср. успех в точки"
"ПАЗАРДЖИК","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ ""ИВАН ВАЗОВ""","1302979","16","26.31","14","29.25"
"ПАЗАРДЖИК","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","Професионална гимназия по икономика и туризъм ""Алеко Константинов""","1304231","61","33.74","59","17.75"
"ПАЗАРДЖИК","ВЕЛИНГРАД","ГР.ВЕЛИНГРАД","Национална професионална гимназия по горско стопанство ""Христо Ботев""","1311390","70","40.59","70","36.62"
"ПАЗАРДЖИК","ВЕЛИНГРАД","С.ДРАГИНОВО","Средно училище ""Методий Драгинов""","1301852","45","37.51","44","64.63"
"ПАЗАРДЖИК","ВЕЛИНГРАД","С.КРЪСТАВА","Обединено училище ""Васил Левски""","1301628","12","39.92","12","51.29"
"ПАЗАРДЖИК","ВЕЛИНГРАД","С.ПАШОВИ","Обединено училище ""Иван Вазов""","1301514","22","57.2","22","34.86"
"ПАЗАРДЖИК","ВЕЛИНГРАД","С.СВЕТА ПЕТКА","Средно училище ""Христо Смирненски""","1302349","43","42.5","43","57.98"
"ПАЗАРДЖИК","ЛЕСИЧОВО","С.КАЛУГЕРОВО","Обединено училище ""Христо Ботев ""","1302114","8","17.56","7","36.57"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Спортно училище град Пазарджик","1300013","61","41.42","61","26.12"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Професионална гимназия по икономика и мениджмънт","1301139","152","54.24","150","25.44"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Средно училище ""Димитър Гачев""","1301234","13","44.23","13","39.77"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""ЦАРИЦА ЙОАННА""","1301911","33","12.36","30","14.93"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Профилирана гимназия ""Иван Сергеевич Аксаков""","1302580","26","44.08","26","33.12"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Професионална гимназия по механоелектротехника","1302769","103","35.23","101","18.19"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Професионална гимназия по химични и хранителни технологии","1302961","80","37.86","78","49.47"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРОМИШЛЕНИ ТЕХНОЛОГИИ","1303006","5","27.4","5","29.6"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Професионална гимназия по фризьорство и ресторантьорство-гр.Пазарджик","1303344","16","19.47","16","13.69"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Езикова гимназия ""Бертолт Брехт""","1304290","176","64.51","175","44.83"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Професионална гимназия по строителство и архитектура","1304332","22","33","22","13.77"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Средно училище ""Георги Бенковски""","1304948","22","42.89","22","20.59"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Средно училище ""Георги Брегов""","1305338","21","44.02","21","24.07"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","Средно училище ""Д-р Петър Берон""","1305831","21","47.76","21","21.95"
"ПАЗАРДЖИК","ПАЗАРДЖИК","ГР.ПАЗАРДЖИК","ПРОФИЛИРАНА МАТЕМАТИЧЕСКА ГИМНАЗИЯ Константин Величков","1309018","126","64.84","125","54.05"
"ПАЗАРДЖИК","ПАНАГЮРИЩЕ","ГР.ПАНАГЮРИЩЕ","Средно училище ""Нешо Бончев""","1302623","66","55.84","64","27.41"
"ПАЗАРДЖИК","ПАНАГЮРИЩЕ","ГР.ПАНАГЮРИЩЕ","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ МЕНИДЖМЪНТ И ТУРИЗЪМ","1305587","69","31.42","67","16.69"
"ПАЗАРДЖИК","ПЕЩЕРА","ГР.ПЕЩЕРА","Средно училище ""Свети Климент Охридски""","1302630","16","34.94","16","21.16"
"ПАЗАРДЖИК","ПЕЩЕРА","ГР.ПЕЩЕРА","Професионална гимназия по хранително- вкусови технологии ""Атанас Ченгелев""","1302819","40","44.48","40","47.15"
"ПАЗАРДЖИК","ПЕЩЕРА","ГР.ПЕЩЕРА","Обединено училище ""Любен Каравелов""","1304357","19","33.74","19","27.82"
"ПАЗАРДЖИК","РАКИТОВО","ГР.РАКИТОВО","Средно училище ""Свети Климент Охридски""","1301770","39","35.85","38","26.28"
"ПАЗАРДЖИК","РАКИТОВО","ГР.РАКИТОВО","Възпитателно училище-интернат ""Ангел Узунов"" I-XII клас","1302722","7","29.07","7","35.43"
"ПАЗАРДЖИК","СЕПТЕМВРИ","ГР.СЕПТЕМВРИ","Средно училище ""Христо Ботев""","1301788","29","48.66","29","27.12"
"ПАЗАРДЖИК","СЕПТЕМВРИ","ГР.СЕПТЕМВРИ","Професионална гимназия по механизация на земеделското стопанство","1302993","27","36.85","27","43.1"
"ПАЗАРДЖИК","СЕПТЕМВРИ","ГР.СЕПТЕМВРИ","Средно училище ""Христо Смирненски""","1303889","8","29.06","8","32.56"
"ПАЗАРДЖИК","СЕПТЕМВРИ","С.ВИНОГРАДЕЦ","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","1301013","15","46.9","15","42.13"
"ПАЗАРДЖИК","СЕПТЕМВРИ","С.СЕМЧИНОВО","Обединено училище ""Христо Ботев""","1301838","10","21.5","10","34.4"
"ПАЗАРДЖИК","СТРЕЛЧА","ГР.СТРЕЛЧА","Средно училище ""Св.Св. Кирил и Методий""","1302662","14","41.86","14","31.54"
"ПАЗАРДЖИК","СЪРНИЦА","ГР.СЪРНИЦА","Средно училище ""Св. св. Кирил и Методий""","1300706","47","48","44","52.72"
"ПЕРНИК","БРЕЗНИК","ГР.БРЕЗНИК","Средно училище ""Васил Левски""","1400842","31","51.4","31","47.92"
"ПЕРНИК","ЗЕМЕН","ГР.ЗЕМЕН","Средно училище ""Свeти Свети Кирил и Методий""","1401946","7","41.86","7","21.14"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Средно училище ""Темелко Ненков""","1403204","20","23.7","19","20.66"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Пето средно училище ""Петко Рачов Славейков""","1403213","13","47.23","13","23.88"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","VI Средно училище ""Свети Свети Кирил и Методий ""","1403214","25","43.92","25","17.46"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Средно училище с разширено изучаване на чужди езици ""Д-р Петър Берон""","1403216","24","60.56","20","23.95"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Спортно училище ""Олимпиец""","1403217","22","40.02","20","36.83"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Природоматематическа гимназия ""Христо Смирненски""","1403219","103","67.83","102","45.5"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Гимназия с преподаване на чужди езици ""Симеон Радев""","1403220","155","63.95","152","28.31"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Професионална гимназия по техника и енергетика ""Христо Ботев""","1403233","94","37.37","89","19.71"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Професионална гимназия по техника и строителство ""Арх. Йордан Миланов""","1403234","97","52.1","96","22.77"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Технологична професионална гимназия ""Мария Кюри""","1403235","34","36.93","29","35.67"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Професионална гимназия по икономика","1403236","103","54.17","97","28.85"
"ПЕРНИК","ПЕРНИК","ГР.ПЕРНИК","Професионална гимназия по облекло и туризъм ""Свети Иван Рилски""","1403237","15","38.17","15","18.2"
"ПЕРНИК","РАДОМИР","ГР.РАДОМИР","Средно училище ""Свети Свети Кирил и Методий""","1403655","24","58.67","24","28.23"
"ПЕРНИК","РАДОМИР","ГР.РАДОМИР","Техническа професионална гимназия ""Никола Йонков Вапцаров""","1403656","34","35.04","35","18.71"
"ПЕРНИК","РАДОМИР","ГР.РАДОМИР","Професионална гимназия по транспорт ""Юрий Гагарин""","1403657","22","25.8","20","15.93"
"ПЕРНИК","ТРЪН","ГР.ТРЪН","Средно училище ""Гео Милев""","1405144","14","34","14","19.57"
"ПЛЕВЕН","БЕЛЕНЕ","ГР.БЕЛЕНЕ","Средно училище ""Димчо Дебелянов""","1500705","23","57.11","23","35.5"
"ПЛЕВЕН","БЕЛЕНЕ","ГР.БЕЛЕНЕ","Професионална гимназия по ядрена енергетика ""Мария Склодовска - Кюри""","1500706","9","39.11","9","18.44"
"ПЛЕВЕН","ГУЛЯНЦИ","ГР.ГУЛЯНЦИ","Средно училище ""Христо Смирненски""","1500807","34","34.72","32","40.91"
"ПЛЕВЕН","ГУЛЯНЦИ","С.ГИГЕН","Средно училище ""Асен Златаров""","1500808","16","29.66","13","42.81"
"ПЛЕВЕН","ДОЛНА МИТРОПОЛИЯ","ГР.ДОЛНА МИТРОПОЛИЯ","Средно училище ""Васил Априлов""","1500914","12","31.71","12","41.54"
"ПЛЕВЕН","ДОЛНА МИТРОПОЛИЯ","ГР.ТРЪСТЕНИК","Средно училище ""Евлоги Георгиев""","1500915","27","37.11","26","16.79"
"ПЛЕВЕН","ДОЛНА МИТРОПОЛИЯ","С.ПОДЕМ","Възпитателно училище интернат ""Христо Ботев""","1500916","1","9","1","4"
"ПЛЕВЕН","ДОЛНИ ДЪБНИК","ГР.ДОЛНИ ДЪБНИК","Средно училище ""Христо Ботев""","1500507","14","39.89","14","22.43"
"ПЛЕВЕН","ДОЛНИ ДЪБНИК","ГР.ДОЛНИ ДЪБНИК","Професионална гимназия по селско стопанство ""Професор Иван Иванов""","1500509","23","17.43","22","13.11"
"ПЛЕВЕН","ИСКЪР","ГР.ИСКЪР","Средно училище ""Христо Смирненски""","1500404","11","22.86","11","23.36"
"ПЛЕВЕН","КНЕЖА","ГР.КНЕЖА","Средно училище ""Неофит Рилски""","1501108","9","29.72","9","17.89"
"ПЛЕВЕН","КНЕЖА","ГР.КНЕЖА","Професионална гимназия по земеделие ""Стефан Цанов""","1501109","75","33.04","72","18.97"
"ПЛЕВЕН","КНЕЖА","ГР.КНЕЖА","Професионална гимназия по механоелектротехника ""Христо Смирненски""","1501110","24","14.48","23","14.26"
"ПЛЕВЕН","ЛЕВСКИ","ГР.ЛЕВСКИ","Средно училище ""Крум Попов""","1500611","33","31.35","33","16.82"
"ПЛЕВЕН","ЛЕВСКИ","ГР.ЛЕВСКИ","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","1500613","16","26.34","14","16.57"
"ПЛЕВЕН","НИКОПОЛ","ГР.НИКОПОЛ","Средно училище ""Христо Ботев""","1501007","16","37.63","16","29.31"
"ПЛЕВЕН","ПЛЕВЕН","ГР.ПЛЕВЕН","Математическа гимназия ""Гео Милев""","1500130","128","69.21","128","63.72"
"ПЛЕВЕН","ПЛЕВЕН","ГР.ПЛЕВЕН","Профилирана гимназия с преподаване на чужди езици ""Димитър Димов""","1500131","179","60.84","179","31.38"
"ПЛЕВЕН","ПЛЕВЕН","ГР.ПЛЕВЕН","Средно училище ""Анастасия Димитрова""","1500132","4","23","4","7"
