Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БУРГАС,БУРГАС,ГР.БУРГАС,"Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""",2902103,21,84.14,21,71.43
БУРГАС,БУРГАС,ГР.БЪЛГАРОВО,"Основно училище ""Васил Левски""",200220,12,58.5,12,39.54
БУРГАС,БУРГАС,С.МАРИНКА,"Основно училище ""Христо Ботев""",200224,8,66.63,8,63.13
БУРГАС,БУРГАС,С.РАВНЕЦ,"Основно училище ""Св. Св. Кирил и Методий""",200225,13,40.54,12,56.83
БУРГАС,КАМЕНО,ГР.КАМЕНО,"Средно училище ""Христо Ботев""",200308,16,54,16,45.72
БУРГАС,КАМЕНО,С.РУСОКАСТРО,"Основно училище "" Иван Вазов""",200304,12,49.17,12,48.29
БУРГАС,КАМЕНО,С.ТРОЯНОВО,"Основно училище "" Христо Ботев""",200306,11,67.55,11,79.32
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Основно училище ""Христо Смирненски""",200404,42,74.83,42,71.24
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Основно училище ""Петко Рачев Славейков""",200405,16,16.81,16,40
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Средно училище ""Св.Св.Кирил и Методий""",200411,49,63.16,49,66.92
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Средно училище ""Христо Ботев""",200412,55,67.38,55,65.71
БУРГАС,КАРНОБАТ,С.ЕКЗАРХ АНТИМОВО,"Основно училище""Христо Ботев""",200406,20,47.75,19,65.5
БУРГАС,КАРНОБАТ,С.КЛИКАЧ,Основно училище Христо Ботев,200408,2,45.5,2,34.75
БУРГАС,МАЛКО ТЪРНОВО,ГР.МАЛКО ТЪРНОВО,"Средно училище""Васил Левски""",200503,11,55.18,11,67.77
БУРГАС,НЕСЕБЪР,ГР.НЕСЕБЪР,"Средно училище ""Любен Каравелов""",200608,106,75.36,106,64.75
БУРГАС,НЕСЕБЪР,ГР.ОБЗОР,"Обединено училище ""Св.Св.Кирил и Методий""",200601,20,85.45,20,66.7
БУРГАС,НЕСЕБЪР,С.ГЮЛЬОВЦА,"Основно училище "" Св. Св. Кирил и Методий """,200602,8,32.5,9,48.94
