"﻿Област","Община","Населено място","Код по Админ","Училище","Явили се БЕЛ","Ср. успех в точки БЕЛ","Явили се МАТ","Ср. успех в точки МАТ"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","103 404","Трето основно училище  ""Братя Миладинови""","36","81,83","36","65,33"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","103 406","Основно училище  ""Св. Климент Охридски""","14","66,07","14","52,36"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","103 401","Средно училище  ""Св. Св. Кирил и Методий""","32","77,22","32","61,16"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","103 407","Основно училище  "" Иван Вазов""","6","80,33","6","63"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","103 410","Oбединено училище  ""Св. Паисий Хилендарски""","12","75,33","12","61,58"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","103 409","Обединено училище ""Петър Берон""","15","73,33","15","64,13"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МУСОМИЩА","103 405","Основно училище ""Христо Ботев""","9","77,78","9","62,78"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","103 006","Основно  училище "" Св. Паисий  Хилендарски""","12","69,92","12","62,75"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","101 301","Средно училище  ""Св.Св.Кирил и Методий""","20","47","20","46,5"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","103 005","Обединено училище  ""Св. Климент Охридски""","22","83,23","21","69,05"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","103 008","Обединено училище ""Христо Ботев""","25","77,2","25","67,08"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","103 019","Обединено училище ""Христо Ботев""","20","47,75","20","32,2"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","103 004","Основно училище ""Пейо Крачолов Яворов""","22","63,36","22","61,5"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","103 002","Средно училище  ""Йордан Йовков""","53","69,87","53","61,21"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ХВОСТЯНЕ","103 009","Основно училище""Димитър Талев""","10","65,1","10","51,7"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","105 101","Средно училище  ""Св.Паисий Хилендарски""","21","75,95","21","61,43"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 006","Първо основно училище ""Кочо Мавродиев""","35","74,03","36","56,36"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 007","Трето основно училище ""Гоце Делчев""","63","79,83","63","61,16"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 008","Четвърто основно училище""Христо Смирненски""","86","82,14","89","78,35"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","103 310","Средно училище ""Никола Йонков Вапцаров""","87","82,24","86","69,93"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 002","Средно училище ""Антон Попов""","21","24,81","21","24,24"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.БЕЛАСИЦА","104 022","Основно училище ""Христо Ботев""","9","73","8","68,63"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАВРАКИРОВО","104 024","Основно училище  ""Св.Св. Кирил и Методий""","21","61,9","21","59,71"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","104 003","Средно училище  ""Васил Левски""","15","70,27","15","67,87"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЪРНАЛОВО","104 025","Осноно училище ""Братя Миладинови""","13","67,54","13","58,08"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИКОСТИНОВО","104 018","Основно училище ""Св. Св. Кирил и Методий""","21","73,14","21","58,62"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","104 004","Средно училище ""Св.Паисий Хилендарски""","40","69,33","40","48,4"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РУПИТЕ","104 017","Основно училище ""Св.Св. Кирил и Методий""","10","45,6","13","38,92"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СКРЪТ","104 005","Основно училище ""Пейо Крачолов Яворов""","13","85,08","13","65,77"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 510","Начално училище ""Яне Сандански""","28","65,04","28","47,04"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 511","Начално училище""Св.Св.Кирил и Методий""","34","77,41","33","72,18"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 502","Основно училище ""Никола Парапунов""","41","82,76","41","68,34"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 501","Средно училище  ""Братя Петър и Иван Каназиреви""","14","75,57","14","60"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАНЯ","103 503","Основно училище""Св. Паисий Хилендарски""","26","74,46","25","57,44"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАЧЕВО","103 504","Основно училище  ""Св. Св. Кирил и Методий""","13","76,54","13","58,62"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОРНО ДРАГЛИЩЕ","103 506","Основно училище ""Неофит Рилски""","6","75,33","6","60,83"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ЕЛЕШНИЦА","103 508","Основно училище""Братя Миладинови""","12","75,58","12","61,25"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","102 606","Второ основно училище  ""Христо Смирненски""","90","77,31","89","65,71"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","104 104","Първо основно училище ""Свети Климент Охридски""","69","82,59","69","70,28"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","104 106","Трето основно училище  ""Христо Ботев""","122","84,87","123","70,09"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","104 107","Четвърто основно училище  "" Св. Св. Козма и Дамян ""","29","71,62","29","49,93"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДАМЯНИЦА","104 113","Основно училище ""Св.СвКирил и Методий""","10","41,2","10","35,9"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАТУНЦИ","104 116","Основно училище""Христо Ботев""","6","60,67","6","53,5"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПОЛЕНИЦА","104 117","Начално училище ""Св. Св. Кирил и Методий""","7","29,71","7","29,71"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СКЛАВЕ","104 111","Основно училище  ""Братя Миладинови""","23","51,04","21","46,19"
"БЛАГОЕВГРАД","САТОВЧА","С.ВАКЛИНОВО","109 057","Основно училище ""Стефка Събчева""","5","52,2","5","66,6"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","109 030","Средно училище  ""Христо Ботев""","17","85,24","17","66,24"
"БЛАГОЕВГРАД","САТОВЧА","С.ГОДЕШЕВО","109 038","Основно училище ""Братя Миладинови""","6","57,33","6","45,5"
"БЛАГОЕВГРАД","САТОВЧА","С.ДОЛЕН","109 068","Основно училище "" Св. Св. Кирил и Методий""","1","82","1","64"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","109 055","Средно училище  ""Христо Смирненски""","9","74,78","9","63,89"
"БЛАГОЕВГРАД","САТОВЧА","С.КРИБУЛ","109 051","Основно училище ""Светлина""","3","64","3","59,67"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","109 054","Обединено училище  ""Св. Св. Кирил и Методий""","11","79,55","11","63,73"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","109 050","Средно училище  ""Св. Св. Кирил и Методий""","20","83,4","20","74,1"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","109 037","Средно училище  ""Свети Климент Охридски""","14","68,57","14","51,57"
"БЛАГОЕВГРАД","САТОВЧА","С.ТУХОВИЩА","109 039","Основно училище ""Св.св.Кирил и Методий""","6","82,5","6","58,83"
"БЛАГОЕВГРАД","САТОВЧА","С.ФЪРГОВО","109 052","Начално училище ""Пейо Яворов""","4","76,75","4","61,25"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","103 133","Средно училище ""Св. Св. Кирил и Методий""","72","77,65","72","62,24"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ДОЛНО ОСЕНОВО","109 107","Обединено училище  ""Св.Паисий Хилендарски""","23","81,7","23","55,96"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","109 102","Средно училище ""Св.св.Кирил и Методий""","19","67,63","20","49,2"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","108 100","Средно училище  ""Св. Паисий Хилендарски""","26","37,04","31","35,1"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","108 001","Средно училище  ""Никола Йонков Вапцаров""","26","70,31","27","57,74"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","108 004","Средно училище Св. Паисий Хилендарски""","28","79","28","60,79"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЕСЛЕН","108 007","Основно училище ""Гоце Делчев""","8","59,25","8","47,5"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЛАТСКА","108 006","Основно училище "" Св. Св. Кирил и Методий""","8","78,88","8","73,13"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.КОПРИВЛЕН","108 003","Основно училище ""Никола Й. Вапцаров","6","72,17","6","61"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","107 090","Средно училище ""Свети Свети Кирил и Методий""","43","69,84","44","55,77"
"БЛАГОЕВГРАД","ЯКОРУДА","С.БЕЛ КАМЕН","107 020","Основно училище ""Неофит Рилски""","7","85","7","72"
"БЛАГОЕВГРАД","ЯКОРУДА","С.КОНАРСКО","107 092","Обединено училище ""Братя Миладинови""","20","74,1","20","55,5"
"БЛАГОЕВГРАД","ЯКОРУДА","С.СМОЛЕВО","107 021","Обединено училище ""Гоце Делчев ""","23","66,3","23","52,7"
"БЛАГОЕВГРАД","ЯКОРУДА","С.ЮРУКОВО","107 094","Обединено училище""Васил Левски""","19","82,05","19","69,32"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 104","Основно училище ""Атанас Манчев""","36","32,22","36","36,22"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 112","Средно училище  ""Христо Ботев""","110","80,62","110","69,25"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 113","Средно училище  ""Никола Йонков Вапцаров""","50","78,62","50","66,22"
"БУРГАС","АЙТОС","С.КАРАГЕОРГИЕВО","200 105","Основно училище  ""Св.Св.Кирил и Методий""","10","54,2","10","54,8"
"БУРГАС","АЙТОС","С.МЪГЛЕН","200 107","Основно училище ""Христо Ботев""","16","24,63","17","36"
"БУРГАС","АЙТОС","С.ПИРНЕ","200 109","Основно училище ""Христо Ботев""","15","49,73","15","61,07"
"БУРГАС","АЙТОС","С.ТОПОЛИЦА","200 110","Основно училище  ""Светлина""","8","71,5","8","71,38"
"БУРГАС","БУРГАС","ГР.БУРГАС","2 902 103","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","46","87,52","46","71,78"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 201","Начално базово училище ""Михаил Лъкатник""","114","87,91","113","79,15"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 226","Обединено училище ""Св. Климент Охридски""","14","43,64","12","39,92"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 205","Основно училище ""Петко Рачев Славейков""","69","86,86","69","75,35"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 206","Основно училище ""Свети княз Борис І""","94","84,37","94","73,34"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 207","Основно училище  ""Любен Каравелов""","79","82,65","79","69,61"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 208","Основно училище ""Найден Геров""","77","77,53","76","67,26"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 209","Основно училище ""Антон Страшимиров""","145","85,86","145","76,41"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 210","Основно училище ""Свети Климент Охридски""","71","83,7","70","71,64"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 211","Основно училище ""Георги Бенковски""","52","81,1","52","67,33"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 212","Основно училище ""Пейо Крачолов Яворов""","72","86,13","71","73,24"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 213","Основно училище ""Васил Априлов""","100","88,57","98","79,1"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 214","Основно училище ""Братя Миладинови""","165","86,21","164","77,43"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 215","Основно училище ""Елин Пелин""","155","84,86","155","72,7"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 216","Основно училище  ""Васил Левски""","35","35,83","35","55,74"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 217","Основно училище  ""Христо Ботев""","41","85,22","41","69,71"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 218","Основно училище ""Христо Ботев""","67","25,72","72","26,06"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 219","Основно училище  "" Христо Ботев""","27","79,26","27","59,11"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 222","Основно училище  ""Иван Вазов""","10","67,4","10","57,9"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 223","Основно училище "" Христо Ботев""","19","78,37","19","67,53"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 241","Основно училище ""Александър Георгиев-Коджакафалията""","74","88,64","74","83,81"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 221","Средно училище  ""Христо Ботев""","14","68,64","14","53,07"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 228","Средно училище  "" Йордан Йовков""","37","86,57","37","76,43"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 229","Средно училище  ""Епископ Константин Преславски""","57","78,75","57","63,67"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 230","Средно училище ""Димчо Дебелянов""","72","87,63","72","78,72"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 231","Средно училище Добри Чинтулов""","25","85,68","25","82,64"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 232","Средно училище  ""Константин Петканов""","55","79,18","54","67,24"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 233","Средно училище  ""Петко Росен""","93","75,58","92","60,5"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 234","Средно училище ""Св. св. Кирил и Методий""","95","86,36","95","78,76"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 203","Частно основно училище ""Д-р Мария Монтесори""","5","89,2","5","75,4"
"БУРГАС","БУРГАС","ГР.БЪЛГАРОВО","200 220","Основно училище ""Васил Левски""","9","77,56","9","63,67"
"БУРГАС","БУРГАС","С.МАРИНКА","200 224","Основно училище ""Христо Ботев""","9","69,67","9","46,33"
"БУРГАС","БУРГАС","С.РАВНЕЦ","200 225","Основно училище ""Св. Св. Кирил и Методий""","15","74,87","15","66,67"
"БУРГАС","КАМЕНО","ГР.КАМЕНО","200 308","Средно училище  ""Христо Ботев""","25","64,24","24","45,67"
"БУРГАС","КАМЕНО","С.КРЪСТИНА","200 301","Начално училище "" Братя Миладинови""","12","41,33","12","31,92"
"БУРГАС","КАМЕНО","С.РУСОКАСТРО","200 304","Основно училище "" Иван Вазов""","15","52,93","15","36,73"
"БУРГАС","КАМЕНО","С.ТРОЯНОВО","200 306","Основно училище "" Христо Ботев""","8","49,88","8","36,38"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 404","Основно училище  ""Христо Смирненски""","50","71,78","50","57,28"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 405","Основно училище  ""Петко Рачев Славейков""","21","14,05","20","23,8"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 411","Средно училище  ""Св.Св.Кирил и Методий""","58","70,91","59","58,66"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 412","Средно училище ""Христо Ботев""","43","80,77","43","67,7"
"БУРГАС","КАРНОБАТ","С.ЕКЗАРХ АНТИМОВО","200 406","Основно училище""Христо Ботев""","16","43,69","15","36,73"
"БУРГАС","КАРНОБАТ","С.КЛИКАЧ","200 408","Основно училище Христо Ботев","8","63,25","8","60,38"
"БУРГАС","МАЛКО ТЪРНОВО","ГР.МАЛКО ТЪРНОВО","200 503","Средно училище""Васил Левски""","21","51,52","21","39,9"
"БУРГАС","НЕСЕБЪР","ГР.НЕСЕБЪР","200 608","Средно училище  ""Любен Каравелов""","126","78,18","126","63,97"
"БУРГАС","НЕСЕБЪР","ГР.ОБЗОР","200 601","Обединено училище  ""Св.Св.Кирил и Методий""","15","71,13","15","56,07"
"БУРГАС","НЕСЕБЪР","С.ГЮЛЬОВЦА","200 602","Основно училище  "" Св. Св. Кирил и Методий ""","7","41,71","7","33,86"
"БУРГАС","НЕСЕБЪР","С.КОШАРИЦА","200 603","ОСНОВНО УЧИЛИЩЕ  ""СВЕТИ ИВАН РИЛСКИ""","7","59,57","7","45,29"
"БУРГАС","НЕСЕБЪР","С.ОРИЗАРЕ","200 604","Основно училище  ""Георги Стойков Раковски""","16","52,69","16","54,13"
"БУРГАС","НЕСЕБЪР","С.РАВДА","200 605","Основно училище  "" Св. св. Кирил и Методий ""","24","81,25","24","67,75"
"БУРГАС","НЕСЕБЪР","С.СВЕТИ ВЛАС","200 606","Основно училище ""Свети свети Кирил и Методий""","53","82","53","69,02"
"БУРГАС","НЕСЕБЪР","С.ТЪНКОВО","200 607","Основно училище "" Васил Левски ""","10","37,9","10","27,5"
"БУРГАС","ПОМОРИЕ","ГР.КАБЛЕШКОВО","200 702","ОУ ""Св. П. Хилендарски""","25","69,96","26","57,31"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","200 703","Основно училище  ""Христо Ботев""","27","58,07","27","46,15"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","200 711","Средно училище  ""Иван Вазов""","71","86,38","71","75,87"
"БУРГАС","ПОМОРИЕ","С.АХЕЛОЙ","200 704","Основно училище "" Христо Ботев ""","24","81,83","25","67,6"
"БУРГАС","ПОМОРИЕ","С.БАТА","200 705","Основно училище ""Христо Ботев ""","15","62,73","15","58,33"
"БУРГАС","ПОМОРИЕ","С.ГОРИЦА","200 706","Основно училище ""Христо Ботев""","12","58,67","12","53,08"
"БУРГАС","ПОМОРИЕ","С.ГЪЛЪБЕЦ","200 707","Основно училище  ""Георги Стойков Раковски""","10","53,5","10","49,2"
"БУРГАС","ПОМОРИЕ","С.ПОРОЙ","200 709","Основно училище ""Свети свети Кирил и Методий""","13","65,38","13","55,69"
"БУРГАС","ПОМОРИЕ","С.СТРАЦИН","200 710","Основно училище ""Отец Паисий""","11","65,91","11","47,36"
"БУРГАС","ПРИМОРСКО","ГР.ПРИМОРСКО","200 803","Средно училище  ""Никола Йонков Вапцаров""","22","78,05","22","70,91"
"БУРГАС","ПРИМОРСКО","С.НОВО ПАНИЧАРЕВО","200 801","Основно Училище ""Христо Ботев""","8","40,38","8","32,38"
"БУРГАС","РУЕН","С.ВРЕСОВО","200 907","Основно училище ""Д-р Петър Берон""","15","53,2","15","37,93"
"БУРГАС","РУЕН","С.ДОБРА ПОЛЯНА","200 908","Основно училище "" Св. Св. Кирил и Методий""","12","63,33","12","59"
"БУРГАС","РУЕН","С.ДЪСКОТНА","200 910","Основно училище  ""Климент Охридски""","13","53,31","13","44,15"
"БУРГАС","РУЕН","С.ЛЮЛЯКОВО","200 931","Средно Училище  "" Отец Паисий""","14","76,57","14","67"
"БУРГАС","РУЕН","С.ПЛАНИНИЦА","200 915","Основно училище ""Никола Йонков Вапцаров""","11","81,82","11","69,18"
"БУРГАС","РУЕН","С.ПРОСЕНИК","200 918","Обединено училище ""Св. Св. Кирил и Методий""","14","43,36","14","32,64"
"БУРГАС","РУЕН","С.РАЗБОЙНА","200 919","Основно Училище ""Д-р Петър Берон""","4","41,5","4","47,75"
"БУРГАС","РУЕН","С.РЕЧИЦА","200 920","Основно училище  ""Антон Симеонович Макаренко""","7","63,71","7","56,14"
"БУРГАС","РУЕН","С.РУЕН","200 932","Средно училище  ""Елин Пелин""","48","47,85","47","43,94"
"БУРГАС","РУЕН","С.РЪЖИЦА","200 922","Основно училище ""Иван Вазов""","10","56,5","10","51,6"
"БУРГАС","РУЕН","С.СИНИ РИД","200 923","Основно училище ""Реджеб Кюпчу""","5","74,6","5","68,8"
"БУРГАС","РУЕН","С.СКАЛАК","200 924","Основно училище "" Йордан Йовков""","1","70","1","54"
"БУРГАС","РУЕН","С.СНЯГОВО","200 926","Основно училище "" Димчо Дебелянов""","8","66,63","8","52,63"
"БУРГАС","РУЕН","С.СТРУЯ","200 927","Основно училище ""Иван Вазов""","4","61,25","4","59,5"
"БУРГАС","РУЕН","С.ТОПЧИЙСКО","200 928","Основно училище "" Реджеб Кюпчю""","19","66,79","19","65,42"
"БУРГАС","РУЕН","С.ТРЪНАК","200 929","Средно училище "" Димитър Полянов""","15","60,4","15","49,93"
"БУРГАС","РУЕН","С.ЧЕРЕША","200 930","Основно училище ""Христо Ботев""","2","81","2","66"
"БУРГАС","РУЕН","С.ЯБЪЛЧЕВО","200 904","Начално училище "" д-р Петър Берон""","11","59,55","11","59,82"
"БУРГАС","СОЗОПОЛ","ГР.СОЗОПОЛ","201 009","Средно училище ""Св. св. Кирил и Методий""","45","78,98","44","63,98"
"БУРГАС","СОЗОПОЛ","С.ЗИДАРОВО","201 003","Основно училище ""Христо Ботев""","13","26,77","13","28,69"
"БУРГАС","СОЗОПОЛ","С.КРУШЕВЕЦ","201 005","Основно училище ""Пейо Крачолов Яворов""","7","35,29","7","34"
"БУРГАС","СОЗОПОЛ","С.РАВНА ГОРА","201 006","Основно училище ""Отец Паисий""","11","76,91","11","56,91"
"БУРГАС","СОЗОПОЛ","С.РОСЕН","201 007","Обединено училище ""Христо Ботев""","20","61,15","20","43,5"
"БУРГАС","СОЗОПОЛ","С.ЧЕРНОМОРЕЦ","201 008","Основно училище ""Христо Ботев""","28","75,39","28","68,93"
"БУРГАС","СРЕДЕЦ","ГР.СРЕДЕЦ","201 104","Средно училище ""Свети Свети Кирил и Методий""","80","50,31","80","36,84"
"БУРГАС","СРЕДЕЦ","С.ДЕБЕЛТ","201 101","Основно училище ""Антон Страшимиров""","20","42,6","20","48,2"
"БУРГАС","СРЕДЕЦ","С.ЗАГОРЦИ","201 102","Основно училище ""Св. Св. Кирил и Методий""","18","36,78","18","27,44"
"БУРГАС","СРЕДЕЦ","С.ФАКИЯ","201 103","Основно училище""Никола Йонков Вапцаров""","6","53,5","6","40,67"
"БУРГАС","СУНГУРЛАРЕ","ГР.СУНГУРЛАРЕ","201 212","Средно училище  ""Христо Ботев""","46","62,37","46","48,59"
"БУРГАС","СУНГУРЛАРЕ","С.ГРОЗДЕН","201 206","Основно училище  ""Св.св.Кирил и Методий""","9","42,22","9","48,33"
"БУРГАС","СУНГУРЛАРЕ","С.ЛОЗАРЕВО","201 207","Основно училище  ""Христо Ботев""","9","50,44","9","48,33"
"БУРГАС","СУНГУРЛАРЕ","С.МАНОЛИЧ","201 208","Основно училище  ""Св.Св.Кирил и Методий""","14","59,07","14","55,07"
"БУРГАС","СУНГУРЛАРЕ","С.ПРИЛЕП","201 209","Основно училище ""Васил Левски""","5","59","5","45,2"
