ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"14. средно училище ""Проф. д-р Асен Златаров""";2220014;59;67,58;59;44,49
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"53 ОСНОВНО УЧИЛИЩЕ ""НИКОЛАЙ ХРЕЛКОВ""";2217053;23;61,02;23;44,43
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"92 Основно училище ""Димитър Талев""";2208092;57;64,6;57;44,4
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""";2224121;50;66,51;50;44,23
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"42. Основно училище "" Хаджи Димитър""";2219042;114;62,69;114;44,17
СОФИЯ-ГРАД;СТОЛИЧНА;С.ЖЕЛЕЗНИЦА;"191 ОСНОВНО УЧИЛИЩЕ ""ОТЕЦ ПАИСИЙ""";2218191;13;53,23;13;44,1
СОФИЯ-ГРАД;СТОЛИЧНА;С.ГОРНИ БОГРОВ;"115 Основно Училище ""Свети, свети Кирил и Методий""";2210115;13;59,85;13;44,08
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище с чуждоезиков профил ""Абрахам Линкълн""";2213600;6;64,42;6;43,92
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"61-во основно училище ""Свети Свети Кирил и Методий""";2203061;89;69,26;89;43,83
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище с изучаване на английски език ""Меридиан 22""";2213502;21;72,98;21;43,31
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"56. Средно училище ""Професор Константин Иречек""";2212056;150;68,93;150;43,23
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Изгрев""";2218703;8;66;8;42,81
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"126 ОСНОВНО УЧИЛИЩЕ ""Петко Юрданов Тодоров""";2224126;86;67,69;86;42,66
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"96 Средно училище ""Лев Николаевич Толстой""";2212096;116;58,2;116;42,29
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"43. Основно училище ""Христо Смирненски""";2206043;105;67,49;105;42,27
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""";2204030;89;64,96;88;42,26
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"76. Основно училище ""Уилям Сароян""";2204076;5;56,4;5;41,7
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"142 ОСНОВНО УЧИЛИЩЕ ""ВЕСЕЛИН ХАНЧЕВ""";2209142;73;66,16;72;41,04
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"16 . ОСНОВНО УЧИЛИЩЕ "" РАЙКО ЖИНЗИФОВ """;2214016;44;64,31;44;41,02
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"17 СУ ""Дамян Груев""";2208017;67;68,07;67;40,7
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""";2211021;51;61,05;51;40,37
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"33 основно училище ""Санкт Петербург""";2212033;82;62,38;82;40,03
СОФИЯ-ГРАД;СТОЛИЧНА;С.ЛОЗЕН;"201 ОСНОВНО УЧИЛИЩЕ ""СВ.СВ. КИРИЛ И МЕТОДИЙ""";2218201;28;62,93;28;40
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"15 Средно училище "" Адам Мицкевич""";2214015;40;53,94;33;39,67
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"40 Средно училище ""Луи Пастьор""";2212040;88;63,72;88;39,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧАСТНО ОСНОВНО УЧИЛИЩЕ ""ПРОФ. Д-Р ВАСИЛ ЗЛАТАРСКИ""";2200015;33;60,82;33;38,73
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"47 Средно училище ""Христо Груев Данов""";2224047;29;59,1;29;38,53
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"144 Средно училище ""Народни будители""";2213144;153;64,35;152;37,96
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Национално музикално училище ""Любомир Пипков""";2902101;76;63,74;75;37,46
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧСУ по изкуства и чужди езици ""Артис""";2224544;14;66,21;14;37,45
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"150-то ОСНОВНО УЧИЛИЩЕ ""ЦАР СИМЕОН ПЪРВИ""";2207150;46;54,34;45;37,34
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"108 Средно училище ""Никола Беловеждов""";2207108;83;58,07;83;36,99
