"﻿Област","Община","Населено място","Училище","Код по Админ","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","ОУ ""Хр.Смирненски""","200 404","42","47,92","42","25,72"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","ОУ ""П. Р. Славейков""","200 405","24","9,33","24","10,38"
"БУРГАС","КАРНОБАТ","С.ЕКЗАРХ АНТИМОВО","ОУ""Христо Ботев""","200 406","11","23,95","11","31,55"
"БУРГАС","КАРНОБАТ","С.КЛИКАЧ","ОУ""Христо Ботев""","200 408","8","35,69","8","29,19"
"БУРГАС","МАЛКО ТЪРНОВО","ГР.МАЛКО ТЪРНОВО","СУ""Васил Левски""","200 503","20","23,78","20","20,16"
"БУРГАС","НЕСЕБЪР","ГР.НЕСЕБЪР","СУ ""Любен Каравелов""","200 608","117","63,28","117","43,07"
"БУРГАС","НЕСЕБЪР","ГР.ОБЗОР","Обединено училище ""Св.Св.Кирил и Методий""","200 601","19","54,21","19","35,46"
"БУРГАС","НЕСЕБЪР","С.ГЮЛЬОВЦА","ОУ ""Св. св. Кирил и Методий""","200 602","9","37,89","9","20,19"
"БУРГАС","НЕСЕБЪР","С.КОШАРИЦА","ОУ ""Св. Ив. Рилски"" с. Кошариц","200 603","7","31,93","8","28,56"
"БУРГАС","НЕСЕБЪР","С.ОРИЗАРЕ","ОУ""Г.С.Раковски""","200 604","14","30","14","15,66"
"БУРГАС","НЕСЕБЪР","С.РАВДА","ОУ ""Св.Св.Кирил  и  Методий""","200 605","16","57,03","16","28,56"
"БУРГАС","НЕСЕБЪР","С.СВЕТИ ВЛАС","ОУ""Св.Св.Кирил и Методий""","200 606","18","58,64","18","30,49"
"БУРГАС","НЕСЕБЪР","С.ТЪНКОВО","Основно училище ""Васил Левски""","200 607","9","13,11","8","14,13"
"БУРГАС","ПОМОРИЕ","ГР.КАБЛЕШКОВО","ОУ ""Св. П. Хилендарски""","200 702","12","36,38","13","14,92"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","СУ ""Иван Вазов""","200 711","59","62,68","59","35,09"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","ОУ"" Христо Ботев""","200 703","36","38,25","36","24,44"
