"﻿Област","Община","Населено място","Училище","Код по Админ","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ"
"ДОБРИЧ","ДОБРИЧКА","С.ЖИТНИЦА","ОУ ""Стефан Караджа""","800 052","8","41,81","7","21,39"
"ДОБРИЧ","ДОБРИЧКА","С.КАРАПЕЛИТ","СУ ""Н. Вапцаров""","800 043","15","14,43","15","12,53"
"ДОБРИЧ","ДОБРИЧКА","С.ЛОВЧАНЦИ","ОУ ""Неофит  Рилски""","800 044","5","10,1","5","10,4"
"ДОБРИЧ","ДОБРИЧКА","С.ОВЧАРОВО","ОУ ""Отец Паисий""","800 046","7","25,57","7","15,57"
"ДОБРИЧ","ДОБРИЧКА","С.ПОБЕДА","ОбУ ""Добри Войников ""","800 042","13","18,5","13","15,54"
"ДОБРИЧ","ДОБРИЧКА","С.СМОЛНИЦА","ОУ ""Климент Охридски""","800 048","4","40,88","4","14,5"
"ДОБРИЧ","ДОБРИЧКА","С.СТЕФАНОВО","ОбУ ""П. К. Яворов""","800 047","12","21,25","12","13,5"
"ДОБРИЧ","ДОБРИЧКА","С.СТОЖЕР","ОУ ""Христо Ботев""","800 054","8","34,81","8","12,63"
"ДОБРИЧ","ДОБРИЧКА","С.ХИТОВО","ОУ ""Васил Левски""","800 039","5","22,3","5","25,6"
"ДОБРИЧ","КАВАРНА","ГР.КАВАРНА","ОУ ""Йордан Йовков""","800 080","46","51,54","46","31,21"
"ДОБРИЧ","КАВАРНА","ГР.КАВАРНА","СУ ""Стефан Караджа""","800 082","32","50,39","32","25,41"
"ДОБРИЧ","КАВАРНА","С.БЕЛГУН","ОУ ""Св.св.Кирил и Методий""","800 085","6","30,75","6","26,33"
"ДОБРИЧ","КРУШАРИ","С.КОРИТЕН","ОУ ""Васил Левски""","800 090","2","28","2","15,5"
"ДОБРИЧ","КРУШАРИ","С.КРУШАРИ","СУ ""Христо Смирненски""","800 093","21","17,4","21","12,46"
"ДОБРИЧ","КРУШАРИ","С.ЛОЗЕНЕЦ","ОУ ""Отец Паисий""","800 092","4","25,75","4","17"
"ДОБРИЧ","ТЕРВЕЛ","ГР.ТЕРВЕЛ","СУ ""Йордан Йовков""","800 094","40","42,08","40","25,47"
"ДОБРИЧ","ТЕРВЕЛ","С.БЕЗМЕР","ОУ ""Паисий Хилендарски""","800 101","13","21,73","13","26,83"
"ДОБРИЧ","ТЕРВЕЛ","С.ЗЪРНЕВО","ОУ ""Христо Ботев""","800 103","9","32,89","9","37,28"
"ДОБРИЧ","ТЕРВЕЛ","С.КОЛАРЦИ","ОбУ ""Д-р Петър Берон""","800 099","10","32,5","10","15,1"
"ДОБРИЧ","ТЕРВЕЛ","С.НОВА КАМЕНА","ОУ ""Отец Паисий""","800 100","11","16,82","11","16,18"
"ДОБРИЧ","ТЕРВЕЛ","С.ОРЛЯК","ОбУ ""Васил Друмев""","800 104","11","18,27","11","29,36"
"ДОБРИЧ","ШАБЛА","ГР.ШАБЛА","СУ ""Асен Златаров""","800 109","21","45,79","21","21,85"
"ДОБРИЧ","ШАБЛА","С.ДУРАНКУЛАК","ОУ ""Св. Климент Охридски""","800 108","6","56,67","6","31,5"
"КЪРДЖАЛИ","АРДИНО","ГР.АРДИНО","СУ ""Васил Левски""","909 201","31","51,81","31","31,53"
"КЪРДЖАЛИ","АРДИНО","С.БОРОВИЦА","ОУ ""А. С. Макаренко""","909 205","2","31,75","2","26,75"
"КЪРДЖАЛИ","АРДИНО","С.БЯЛ ИЗВОР","ОУ ""Христо Смирненски""","909 202","5","41,5","5","17,65"
"КЪРДЖАЛИ","АРДИНО","С.ГОРНО ПРАХОВО","ОУ ""Св. Св. Кирил и Методий""","909 206","3","44","3","38,25"
"КЪРДЖАЛИ","АРДИНО","С.ЖЪЛТУША","ОУ""Отец Паисий""","909 209","2","50,5","2","27,25"
"КЪРДЖАЛИ","АРДИНО","С.ПАДИНА","ОУ ""Св.Св.Кирил и Методий""","909 211","5","63,8","5","46,85"
"КЪРДЖАЛИ","ДЖЕБЕЛ","ГР.ДЖЕБЕЛ","СУ ""Христо Ботев""","909 301","47","42,52","47","30,12"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.ПРИПЕК","СУ ""Паисий Хилендарски""","909 315","10","61,5","10","41,45"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.РОГОЗЧЕ","ОУ ""Христо Смирненски""","909 309","5","23,7","5","19,6"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.УСТРЕН","ОУ ""Васил Левски""","909 310","1","41","1","29,5"
"КЪРДЖАЛИ","КИРКОВО","С.БЕНКОВСКИ","СУ ""Н. Й. Вапцаров""","909 402","45","39,23","45","33,22"
"КЪРДЖАЛИ","КИРКОВО","С.ДРАНГОВО","ОУ ""Васил Левски""","909 410","1","54,5","1","34"
"КЪРДЖАЛИ","КИРКОВО","С.КИРКОВО","СУ ""Отец Паисий""","909 401","18","70,03","18","33"
"КЪРДЖАЛИ","КИРКОВО","С.СТАРОВО","ОУ "" Устрем""","909 414","3","41,67","3","30,75"
"КЪРДЖАЛИ","КИРКОВО","С.ТИХОМИР","ОУ ""Васил Левски""","909 415","12","41,38","12","39,35"
"КЪРДЖАЛИ","КИРКОВО","С.ФОТИНОВО","ОУ ""Христо Смирненски""","909 417","6","62","6","65,83"
"КЪРДЖАЛИ","КИРКОВО","С.ЧАКАЛАРОВО","ОУ ""Иван Вазов""","909 416","11","57","11","52,05"
"КЪРДЖАЛИ","КИРКОВО","С.ЧОРБАДЖИЙСКО","СУ""ХРИСТО БОТЕВ""","909 403","25","23,94","25","22,44"
"КЪРДЖАЛИ","КРУМОВГРАД","ГР.КРУМОВГРАД","СУ ""В. Левски""","909 501","76","41,68","75","23,22"
"КЪРДЖАЛИ","КРУМОВГРАД","С.АВРЕН","ОУ ""Михаил Христов""","909 502","3","75","3","27,5"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ГОРНА КУЛА","ОУ ""Н. Й. Вапцаров""","909 506","7","12,64","7","15,71"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ГУЛИЙКА","ОУ ""Христо Ботев""","909 507","13","14,77","12","11,92"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ЕГРЕК","ДОУ ""Васил Левски""","909 504","1","53,5","1","19,25"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ЛУЛИЧКА","ОУ ""Васил Левски""","909 510","9","13,56","9","37,56"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ПОДРУМЧЕ","ОУ ""Никола Й. Вапцаров""","909 512","6","31,83","6","35"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ПОТОЧНИЦА","ОУ ""Иван Вазов""","909 513","2","30","2","35"
"КЪРДЖАЛИ","КРУМОВГРАД","С.СТРАНДЖЕВО","ОУ ""Св. Св. Кирил и Методий""","909 514","10","17,05","10","19,4"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ТОКАЧКА","ОУ ""П. К. Яворов"".","909 509","15","37,23","15","25,3"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","СУ ""Отец Паисий""","909 105","123","57,11","123","39,46"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","СУ ""П. Р.Славейков""","909 106","178","51,31","178","36,09"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","СУ ""Вл. Д.-Майстора""","909 101","30","48,85","30","36,63"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","СУ ""Йордан Йовков""","909 103","76","48,7","76","31,77"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","ОУ ""Св. Св. Кирил и Методий""","909 116","71","45,34","71","30"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","ОУ""Св.Кл.Охридски""","909 104","17","38,62","17","22,47"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","ОУ ""Васил Левски""","909 115","26","16,75","26","17,36"
"КЪРДЖАЛИ","КЪРДЖАЛИ","ГР.КЪРДЖАЛИ","ОУ""П.К.Яворов""","909 117","32","16,66","33","16,3"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.БОЙНО","ОУ ""Хр.Ботев""","909 119","7","17","7","14,57"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.ГЛУХАР","ОУ ""Св. св. Кирил и Методий""","909 120","7","14,71","7","15,57"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.ЕНЧЕЦ","ОУ ""Св. св. Кирил и Методий""","909 121","10","23,7","10","42,25"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.КОНЕВО","ОУ ""Гео Милев""","909 126","4","34,38","4","38,94"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.КОСТИНО","ОУ ""Иван Вазов""","909 125","6","39,08","6","43,33"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.МИЛАДИНОВО","ОУ ""Христо Ботев""","909 128","6","13,83","6","31,29"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.МОСТ","ОУ ""Христо Смирненски""","909 129","12","48,29","12","41,77"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.ПЕРПЕРЕК","ОУ ""Паисий Хилендарски""","909 135","12","15,71","11","22,55"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.РАНИ ЛИСТ","ОУ "" Н.Й.Вапцаров""","909 136","6","45,17","9","25,06"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.СТРЕМЦИ","ОУ ""Св. св. Кирил и Методий""","909 138","20","32,08","20","41,15"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.ЧИФЛИК","ОУ ""Максим Горки""","909 139","3","30,83","3","12,17"
"КЪРДЖАЛИ","КЪРДЖАЛИ","С.ШИРОКО ПОЛЕ","ОУ ""Иван Вазов""","909 140","4","14,25","4","33,63"
"КЪРДЖАЛИ","МОМЧИЛГРАД","ГР.МОМЧИЛГРАД","ОУ ""Д-р Петър Берон""","909 608","55","55,23","55","37,21"
"КЪРДЖАЛИ","МОМЧИЛГРАД","ГР.МОМЧИЛГРАД","СУ ""Н.Й.Вапцаров""","909 601","38","42,24","38","29,79"
"КЪРДЖАЛИ","МОМЧИЛГРАД","С.ГРУЕВО","ОУ ""Н. Й. Вапцаров""","909 604","5","17,7","5","21,95"
"КЪРДЖАЛИ","МОМЧИЛГРАД","С.ЗВЕЗДЕЛ","ОУ ""Н. Й. Вапцаров""","909 605","2","26,75","2","26,5"
"КЪРДЖАЛИ","МОМЧИЛГРАД","С.НАНОВИЦА","ОУ ""Св.Св.Кирил и Методий""","909 609","5","8,8","4","19,13"
"КЪРДЖАЛИ","МОМЧИЛГРАД","С.РАВЕН","ОУ ""Васил Левски""","909 612","7","16,36","7","14,64"
"КЪРДЖАЛИ","ЧЕРНООЧЕНЕ","С.ГАБРОВО","ОУ""Христо Ботев""","909 703","7","43","7","41,25"
"КЪРДЖАЛИ","ЧЕРНООЧЕНЕ","С.КОМУНИГА","Основно училище "" Васил Левски","909 705","10","40","10","30,58"
"КЪРДЖАЛИ","ЧЕРНООЧЕНЕ","С.ЛЯСКОВО","ОУ ""Н. Й. Вапцаров""","909 706","5","63,3","5","55,05"
"КЪРДЖАЛИ","ЧЕРНООЧЕНЕ","С.ПАНИЧКОВО","ОУ ""Н. Й. Вапцаров""","909 708","3","27,5","3","21,75"
"КЪРДЖАЛИ","ЧЕРНООЧЕНЕ","С.ЧЕРНООЧЕНЕ","СУ ""Хр.Смирненски""","909 701","42","35,76","42","29,62"
"КЮСТЕНДИЛ","БОБОВ ДОЛ","ГР.БОБОВ ДОЛ","СУ ""Хр. Ботев"" - Бобов дол","1 000 016","20","48,38","19","22,12"
"КЮСТЕНДИЛ","БОБОВ ДОЛ","ГР.БОБОВ ДОЛ","ОУ ""Н. Вапцаров"" - Бобов дол","1 000 015","20","34,58","20","20,35"
"КЮСТЕНДИЛ","БОБОВ ДОЛ","ГР.БОБОВ ДОЛ","СУ ""Д-р П. Берон"" - Бобов дол","1 000 018","2","26,25","2","25"
"КЮСТЕНДИЛ","БОБОШЕВО","ГР.БОБОШЕВО","ОУ ""Св. Св. Кирил и Методий"" - Бобошево","1 000 021","10","54,2","10","36,53"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","СEУ ""Св. П. Хилендарски"" - Дупница","1 000 035","120","61,3","120","37,87"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","ОУ ""Е. Георгиев"" - Дупница","1 000 038","46","60,67","46","34,1"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","ОУ ""Св. св. Кирил и Методий"" - Дупница","1 000 034","44","59,77","44","37,47"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","ОУ ""Н. Рилски"" - Дупница","1 000 036","70","47,75","70","30,61"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","ОУ ""Хр. Павлович"" - Дупница","1 000 037","18","37,47","16","23,09"
"КЮСТЕНДИЛ","ДУПНИЦА","ГР.ДУПНИЦА","СУ ""Св. Кл. Охридски"" - Дупница","1 000 039","18","24,64","17","16,07"
"КЮСТЕНДИЛ","ДУПНИЦА","С.КРАЙНИЦИ","ОУ"" Хр. Ботев"" - Крайници","1 000 045","11","40,5","11","15"
"КЮСТЕНДИЛ","ДУПНИЦА","С.САМОРАНОВО","ОУ ""Христо Ботев"" - Самораново","1 000 046","10","59,95","10","44,38"
"КЮСТЕНДИЛ","ДУПНИЦА","С.ЯХИНОВО","ОУ ""Св. Св. Кирил и Методий"" - Яхиново","1 000 048","7","46,5","7","26,75"
"КЮСТЕНДИЛ","КОЧЕРИНОВО","ГР.КОЧЕРИНОВО","СУ ""Хр. Ботев"" - Кочериново","1 000 025","20","46,15","18","24,08"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","ПМГ ""Проф. Ем. Иванов"" - Кюстендил","1 000 550","53","71,05","53","59,2"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","ОУ ""Св. св. Кирил и Методий"" - Кюстендил","1 001 830","124","58,24","124","34,5"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","ОУ ""Проф. М. Дринов"" - Кюстендил","1 000 330","77","54,36","77","29,89"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","СУ ""В. Левски"" - Кюстендил","1 001 390","16","38,31","17","17,57"
"КЮСТЕНДИЛ","КЮСТЕНДИЛ","ГР.КЮСТЕНДИЛ","VІ ОУ ""Св. П. Хилендарски"" - Кюстендил","1 001 410","118","33,04","108","19,95"
"КЮСТЕНДИЛ","НЕВЕСТИНО","С.НЕВЕСТИНО","ОУ ""Хр. Ботев"" - Невестино","1 000 004","15","26,3","15","12,4"
"КЮСТЕНДИЛ","РИЛА","ГР.РИЛА","ОУ ""Ав. Попстоянов"" - Рила","1 000 032","13","48,85","13","21,48"
"КЮСТЕНДИЛ","САПАРЕВА БАНЯ","ГР.САПАРЕВА БАНЯ","СУ  ""Хр. Ботев"" - Сапарева баня","1 000 009","44","47,76","44","33,05"
"КЮСТЕНДИЛ","ТРЕКЛЯНО","С.ТРЕКЛЯНО","ОУ ""Св. Кл. Охридски"" - Трекляно","1 000 007","3","5,67","3","9,33"
"ЛОВЕЧ","АПРИЛЦИ","ГР.АПРИЛЦИ","СУ ""Васил Левски""","1 100 108","17","55,41","17","24,44"
"ЛОВЕЧ","ЛЕТНИЦА","ГР.ЛЕТНИЦА","СУ ""Бачо Киро""","1 100 201","18","28,08","18","18,64"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ППМГ","1 100 320","23","85,74","23","81,53"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ОУ ""Васил Левски""","1 100 301","77","70,53","77","46,07"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ОУ ""Христо Никифоров""","1 100 304","68","60,77","66","37,15"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ОУ ""Проф. Димитър Димов""","1 100 336","61","56,98","61","31,23"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","СУ ""Тодор Кирков""","1 100 316","16","44,56","16","21,19"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ОУ ""Панайот Пипков""","1 100 317","14","18,18","14","15,16"
"ЛОВЕЧ","ЛОВЕЧ","ГР.ЛОВЕЧ","ОУ ""Св.Св. Кирил и Методий""","1 100 305","17","17,79","16","12,34"
"ЛОВЕЧ","ЛОВЕЧ","С.АЛЕКСАНДРОВО","ОУ ""Св. Св. Кирил и Методий""","1 100 321","15","27,4","17","27,63"
"ЛОВЕЧ","ЛОВЕЧ","С.МАЛИНОВО","ОУ ""Васил Левски""","1 100 311","1","13","1","19"
"ЛОВЕЧ","ЛУКОВИТ","ГР.ЛУКОВИТ","СУ ""Алеко Константинов""","1 100 402","99","38,41","98","27,57"
"ЛОВЕЧ","ЛУКОВИТ","С.БЕЖАНОВО","ОУ ""Св. Св. Кирил и Методий""","1 100 403","24","24,42","25","27,16"
"ЛОВЕЧ","ЛУКОВИТ","С.ДЕРМАНЦИ","ОбУ ""Неофит Рилски""","1 100 404","30","39,43","29","22,66"
"ЛОВЕЧ","ЛУКОВИТ","С.РУМЯНЦЕВО","ОУ ""Христо Ботев""","1 100 406","26","17,04","27","12,31"
"ЛОВЕЧ","ЛУКОВИТ","С.ТОРОС","ОУ ""Васил Левски""","1 100 408","15","36,53","15","18,08"
"ЛОВЕЧ","ТЕТЕВЕН","ГР.ТЕТЕВЕН","СУ ""Георги Бенковски""","1 100 509","41","54,72","41","31,79"
"ЛОВЕЧ","ТЕТЕВЕН","С.БЪЛГАРСКИ ИЗВОР","ОУ ""Васил Левски""","1 100 501","13","44,81","14","17,52"
"ЛОВЕЧ","ТЕТЕВЕН","С.ГАЛАТА","ОУ ""Георги Бенковски""","1 100 502","31","32,92","31","14,14"
"ЛОВЕЧ","ТЕТЕВЕН","С.ГЛОГОВО","ОУ ""Христо Ботев""","1 100 503","23","40,24","23","18,33"
"ЛОВЕЧ","ТЕТЕВЕН","С.ГОЛЯМ ИЗВОР","ОУ ""Васил Левски""","1 100 505","12","21,83","11","25,25"
"ЛОВЕЧ","ТЕТЕВЕН","С.ГРАДЕЖНИЦА","ОУ ""Васил Априлов""","1 100 506","16","44,81","16","23,86"
"ЛОВЕЧ","ТЕТЕВЕН","С.РИБАРИЦА","ОУ ""Георги Бенковски""","1 100 507","2","31,5","2","12,5"
"ЛОВЕЧ","ТЕТЕВЕН","С.ЧЕРНИ ВИТ","ОУ ""Георги Бенковски""","1 100 508","10","40,5","10","27,6"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","НУПИ ""Проф. Венко Колев""","2 902 502","19","66,55","19","29,59"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","СУ ""Васил Левски""","1 100 612","75","64,26","75","33,82"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","СУ ""Св. Климент Охридски""","1 100 613","80","63,76","80","34,19"
"ЛОВЕЧ","ТРОЯН","ГР.ТРОЯН","ОУ ""Иван Хаджийски""","1 100 601","31","31,34","32","20,67"
"ЛОВЕЧ","ТРОЯН","С.БОРИМА","ОУ ""Васил Левски""","1 100 603","5","63,4","5","29,25"
"ЛОВЕЧ","ТРОЯН","С.ДЕБНЕВО","ОУ ""Иван Вазов""","1 100 107","5","57","5","27,6"
"ЛОВЕЧ","ТРОЯН","С.ОРЕШАК","ОУ ""Васил Левски""","1 100 609","3","13,5","3","13"
"ЛОВЕЧ","ТРОЯН","С.ЧЕРНИ ОСЪМ","СУ ""Васил Левски""","1 100 610","7","35","7","20"
"ЛОВЕЧ","УГЪРЧИН","ГР.УГЪРЧИН","СУ ""Св. Св. Кирил и Методий""","1 100 705","21","35,21","23","26,4"
"ЛОВЕЧ","УГЪРЧИН","С.КИРЧЕВО","ОУ ""Христо Ботев""","1 100 702","10","41,15","9","21,39"
"ЛОВЕЧ","УГЪРЧИН","С.ЛЕСИДРЕН","ОУ ""Св. Паисий Хилендарски""","1 100 703","7","30,79","7","15,64"
"ЛОВЕЧ","ЯБЛАНИЦА","ГР.ЯБЛАНИЦА","СУ ""Васил Левски""","1 100 805","24","28,4","24","20,49"
"ЛОВЕЧ","ЯБЛАНИЦА","С.БРЕСТНИЦА","ОУ ""Христо Ботев""","1 100 801","16","19,41","16","44,06"
"ЛОВЕЧ","ЯБЛАНИЦА","С.ЗЛАТНА ПАНЕГА","ОУ ""Любен Каравелов""","1 100 803","11","36,55","11","37,93"
"ЛОВЕЧ","ЯБЛАНИЦА","С.ОРЕШЕНЕ","ОУ ""Васил Левски""","1 100 804","15","12,17","13","12,23"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","I ОУ ""Н.Й.Вапцаров""","1 202 001","20","63,25","20","35,49"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","III ОУ ""Ив. Вазов""","1 202 003","13","54,19","13","39,87"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","II  ОУ ""Хр. Смирненски""","1 202 002","30","53,85","32","28,57"
"МОНТАНА","БЕРКОВИЦА","ГР.БЕРКОВИЦА","ІV ОУ ""Г. С. Раковски""","1 202 004","18","14,33","18","15,38"
"МОНТАНА","БЕРКОВИЦА","С.БЪРЗИЯ","ОУ ""Г. С. Раковски""","1 202 007","5","26,9","5","15,85"
"МОНТАНА","БЕРКОВИЦА","С.ЗАМФИРОВО","ОУ ""Св.Св. Кирил и Методий""","1 202 009","4","44,25","4","22,94"
"МОНТАНА","БОЙЧИНОВЦИ","ГР.БОЙЧИНОВЦИ","СУ ""В. Левски""","1 203 000","7","23,36","7","15,79"
"МОНТАНА","БОЙЧИНОВЦИ","С.ВЛАДИМИРОВО","ОУ ""Вл. Минчев""","1 203 004","17","31","17","17,68"
"МОНТАНА","БОЙЧИНОВЦИ","С.ЛЕХЧЕВО","СУ ""Св. Св. Кирил и Методий""","1 203 001","15","31,53","15","20,92"
"МОНТАНА","БОЙЧИНОВЦИ","С.МАДАН","ОУ ""Отец Паисий""","1 203 005","4","16,5","4","15,06"
"МОНТАНА","БОЙЧИНОВЦИ","С.МЪРЧЕВО","ОУ ""Христо Ботев""","1 203 006","8","25,31","8","17,53"
"МОНТАНА","БРУСАРЦИ","ГР.БРУСАРЦИ","СУ ""Христо Ботев""","1 204 000","12","24,58","12","15,83"
"МОНТАНА","БРУСАРЦИ","С.ВАСИЛОВЦИ","ОУ ""П.Р.Славейков""","1 204 003","6","48,92","6","33,83"
"МОНТАНА","БРУСАРЦИ","С.КРИВА БАРА","ОУ ""П.Кр. Яворов""","1 204 001","5","44,7","5","33,35"
"МОНТАНА","ВЪЛЧЕДРЪМ","ГР.ВЪЛЧЕДРЪМ","II ОУ ""Ив. Вазов""","1 207 002","19","35,82","20","20,94"
"МОНТАНА","ВЪЛЧЕДРЪМ","ГР.ВЪЛЧЕДРЪМ","І ОУ ""Васил Левски""","1 207 001","20","28,28","20","19,93"
"МОНТАНА","ВЪЛЧЕДРЪМ","С.ДОЛНИ ЦИБЪР","OбУ ""Хр. Ботев""","1 207 003","14","17,89","14","16,39"
"МОНТАНА","ВЪЛЧЕДРЪМ","С.ЗЛАТИЯ","ОУ ""Хр. Ботев""","1 207 004","3","9,67","3","29,67"
"МОНТАНА","ВЪЛЧЕДРЪМ","С.СЕПТЕМВРИЙЦИ","ОУ ""Д-р Петър Берон""","1 207 007","10","33,35","11","16,43"
"МОНТАНА","ВЪРШЕЦ","ГР.ВЪРШЕЦ","СУ ""Иван Вазов""","1 208 002","47","40,69","45","30,27"
"МОНТАНА","ГЕОРГИ ДАМЯНОВО","С.ГЕОРГИ ДАМЯНОВО","ОУ ""Отец Паисий""","1 206 002","4","32,63","4","26,25"
"МОНТАНА","ЛОМ","ГР.ЛОМ","І ОУ ""Никола Първанов""","1 203 512","43","50,06","44","38,83"
"МОНТАНА","ЛОМ","ГР.ЛОМ","II ОУ ""К. Фотинов""","1 209 002","64","50,05","64","50,78"
"МОНТАНА","ЛОМ","ГР.ЛОМ","СУ ""Д. Маринов""","1 209 005","37","46,8","37","22,2"
"МОНТАНА","ЛОМ","ГР.ЛОМ","ІV ОУ ""Христо Ботев""","1 209 004","15","38,5","15","42,52"
"МОНТАНА","ЛОМ","ГР.ЛОМ","СУ ""Отец  Паисий""","1 209 003","14","28,5","14","25,21"
"МОНТАНА","ЛОМ","С.ЗАМФИР","ОУ ""Кирил и Методий""","1 209 007","2","49,75","2","24,5"
"МОНТАНА","ЛОМ","С.КОВАЧИЦА","ОУ ""Св.Св. Кирил и Методий""","1 209 008","12","26,96","12","28,58"
"МОНТАНА","ЛОМ","С.СТАЛИЙСКА МАХАЛА","ОУ ""Климент Охридски""","1 209 010","14","43,54","14","42,25"
"МОНТАНА","МЕДКОВЕЦ","С.МЕДКОВЕЦ","СУ ""Отец Паисий""","1 205 000","11","40,27","12","23"
"МОНТАНА","МЕДКОВЕЦ","С.РАСОВО","ОУ ""Христо Ботев""","1 205 001","11","29,77","12","16,67"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","ПМПГ ""Св. Кл. Охридски""","1 201 001","53","77,37","53","61,79"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","IV ОУ ""Иван Вазов""","1 201 006","68","62,57","68","28,67"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","І ОУ ""Св.Св. Кирил и Методий""","1 201 003","51","53,35","51","27,25"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","III ОУ ""Д-р Петър Берон""","1 201 005","77","53,3","77","30,46"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","V ОУ ""Христо Ботев""","1 201 007","33","52,58","35","24,08"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","II СУ ""Н. Й. Вапцаров""","1 201 004","36","44,76","37","23,68"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","VII СУ ""Йордан Радичков""","1 201 011","22","44,27","22","19,73"
"МОНТАНА","МОНТАНА","ГР.МОНТАНА","VI СУ ""Отец Паисий""","1 201 034","45","42,87","46","24,82"
"МОНТАНА","МОНТАНА","С.ГАБРОВНИЦА","ОУ ""Св.св. Кирил и Методий""","1 201 015","15","40,17","13","35,9"
"МОНТАНА","МОНТАНА","С.ДОКТОР ЙОСИФОВО","ОУ ""Христо Ботев""","1 201 016","3","38,17","4","21,69"
"МОНТАНА","МОНТАНА","С.СМОЛЯНОВЦИ","ОУ ""Васил Левски""","1 201 012","5","56,3","5","31,5"
"МОНТАНА","ЧИПРОВЦИ","ГР.ЧИПРОВЦИ","ОУ ""Петър Парчевич""","1 201 101","9","59,44","9","31,33"
"МОНТАНА","ЯКИМОВО","С.ЯКИМОВО","СУ ""Д-р П. Берон""","1 201 200","22","15,11","22","12,41"
"ПАЗАРДЖИК","БАТАК","ГР.БАТАК","ОУ ""Отец Паисий""","1 302 491","17","63,15","16","32,25"
"ПАЗАРДЖИК","БАТАК","С.НОВА МАХАЛА","СУ ""Кирил и Методий""","1 300 015","14","43,32","14","38,09"
"ПАЗАРДЖИК","БАТАК","С.ФОТИНОВО","ОУ "" Св.Климент Охридски""","1 302 420","1","44","1","58"
