"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","Средно училище ""Никола Йонков Вапцаров""","108001","20","59.58","19","56.66"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","Средно училище Св. Паисий Хилендарски""","108004","22","68.75","22","64.34"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЕСЛЕН","Основно училище ""Гоце Делчев""","108007","8","71.88","8","65.31"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.КОПРИВЛЕН","Основно училище ""Никола Й. Вапцаров","108003","7","71.93","7","71.14"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","Средно училище ""Свети Свети Кирил и Методий""","107090","41","61.33","41","60.13"
"БЛАГОЕВГРАД","ЯКОРУДА","С.БЕЛ КАМЕН","Основно училище ""Неофит Рилски""","107020","5","70.2","5","80.9"
"БЛАГОЕВГРАД","ЯКОРУДА","С.КОНАРСКО","Обединено училище ""Братя Миладинови""","107092","11","53.73","11","46.14"
"БЛАГОЕВГРАД","ЯКОРУДА","С.СМОЛЕВО","Обединено училище ""Гоце Делчев ""","107021","10","58.6","10","64.6"
"БЛАГОЕВГРАД","ЯКОРУДА","С.ЮРУКОВО","Обединено училище""Васил Левски""","107094","12","60.92","12","57.71"
"БУРГАС","АЙТОС","ГР.АЙТОС","Основно училище ""Атанас Манчев""","200104","36","22.78","36","38.08"
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Христо Ботев""","200112","77","79.24","77","76.39"
"БУРГАС","АЙТОС","ГР.АЙТОС","Средно училище ""Никола Йонков Вапцаров""","200113","64","71.43","64","74.33"
"БУРГАС","АЙТОС","С.КАРАГЕОРГИЕВО","Основно училище ""Св.Св.Кирил и Методий""","200105","9","56","9","60.06"
"БУРГАС","АЙТОС","С.МЪГЛЕН","Основно училище ""Христо Ботев""","200107","12","37.54","13","40.77"
"БУРГАС","АЙТОС","С.ПИРНЕ","Основно училище ""Христо Ботев""","200109","19","49.39","19","67.76"
"БУРГАС","АЙТОС","С.ТОПОЛИЦА","Основно училище ""Светлина""","200110","13","73.35","13","75.35"
"БУРГАС","БУРГАС","ГР.БУРГАС","ЧНУ ""Селестен Френе""","200124","11","80.55","11","83.41"
"БУРГАС","БУРГАС","ГР.БУРГАС","Начално базово училище ""Михаил Лъкатник""","200201","99","86.53","99","84.15"
"БУРГАС","БУРГАС","ГР.БУРГАС","Частно основно училище ""Д-р Мария Монтесори""","200203","6","92.67","6","87.08"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Петко Рачев Славейков""","200205","74","81.97","74","76.85"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Свети княз Борис І""","200206","87","82.02","88","77.31"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Любен Каравелов""","200207","76","83.45","76","77.75"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Найден Геров""","200208","74","75.12","73","73.38"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Антон Страшимиров""","200209","114","82.53","113","80.84"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Свети Климент Охридски""","200210","70","89.09","70","86.69"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Георги Бенковски""","200211","88","82.18","87","80.99"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Пейо Крачолов Яворов""","200212","70","77.74","70","77.2"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Васил Априлов""","200213","92","90.39","93","90.99"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Братя Миладинови""","200214","109","84.61","110","82.94"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Елин Пелин""","200215","136","83.92","132","76.55"
"БУРГАС","БУРГАС","ГР.БУРГАС","Обединено училище ""Васил Левски"" - кв. Горно Езерово","200216","28","36.64","27","52.93"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Христо Ботев"" - кв. Сарафово","200217","34","85.18","31","83.6"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Христо Ботев"" - кв. Победа","200218","78","17.37","77","23.88"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище "" Христо Ботев"" - кв. Долно Езерово","200219","38","76.38","38","65.99"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Христо Ботев"" - кв. Черно море","200221","11","65.5","11","75.45"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Иван Вазов"" - кв. Банево","200222","6","70.33","6","67.17"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище "" Христо Ботев"" - кв. Ветрен","200223","12","78.75","12","74.25"
"БУРГАС","БУРГАС","ГР.БУРГАС","Обединено училище ""Св. Климент Охридски"" - кв. Рудник","200226","16","36.63","16","55.78"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Иван Вазов""","200227","24","74.04","24","72.42"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище "" Йордан Йовков""","200228","48","85.4","48","78.64"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Епископ Константин Преславски""","200229","67","78.2","67","75.05"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Димчо Дебелянов""","200230","54","79.78","54","77.24"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище Добри Чинтулов""","200231","22","80.77","22","84.82"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Константин Петканов""","200232","69","73.96","69","72.53"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Петко Росен""","200233","67","72.87","68","67.4"
"БУРГАС","БУРГАС","ГР.БУРГАС","Средно училище ""Св. св. Кирил и Методий""","200234","91","87.82","91","82.13"
"БУРГАС","БУРГАС","ГР.БУРГАС","Основно училище ""Александър Георгиев-Коджакафалията""","200241","49","89.38","49","86.99"
"БУРГАС","БУРГАС","ГР.БУРГАС","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","2902103","44","84.24","44","80.51"
"БУРГАС","БУРГАС","ГР.БЪЛГАРОВО","Основно училище ""Васил Левски""","200220","7","51.86","7","49.43"
"БУРГАС","БУРГАС","С.МАРИНКА","Основно училище ""Христо Ботев""","200224","14","56.07","14","43.68"
"БУРГАС","БУРГАС","С.РАВНЕЦ","Основно училище ""Св. Св. Кирил и Методий""","200225","16","56.38","15","53.53"
"БУРГАС","КАМЕНО","ГР.КАМЕНО","Средно училище ""Христо Ботев""","200308","24","58.08","23","56.98"
"БУРГАС","КАМЕНО","С.КРЪСТИНА","Начално училище "" Братя Миладинови""","200301","7","45.36","7","58.5"
"БУРГАС","КАМЕНО","С.РУСОКАСТРО","Основно училище "" Иван Вазов""","200304","11","44.5","11","45.68"
"БУРГАС","КАМЕНО","С.ТРОЯНОВО","Основно училище "" Христо Ботев""","200306","8","60.81","8","77.56"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Основно училище ""Христо Смирненски""","200404","21","72.95","21","74.07"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Основно училище ""Петко Рачев Славейков""","200405","20","23.4","20","37.55"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Средно училище ""Св.Св.Кирил и Методий""","200411","32","73.06","32","68.44"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","Средно училище ""Христо Ботев""","200412","52","65.54","52","68.98"
"БУРГАС","КАРНОБАТ","С.ЕКЗАРХ АНТИМОВО","Основно училище""Христо Ботев""","200406","15","44.3","15","55.6"
"БУРГАС","КАРНОБАТ","С.КЛИКАЧ","Основно училище Христо Ботев","200408","5","41.6","5","58.5"
"БУРГАС","МАЛКО ТЪРНОВО","ГР.МАЛКО ТЪРНОВО","Средно училище""Васил Левски""","200503","14","61.93","15","70.43"
"БУРГАС","НЕСЕБЪР","ГР.НЕСЕБЪР","Средно училище ""Любен Каравелов""","200608","100","73.53","98","65.21"
"БУРГАС","НЕСЕБЪР","ГР.ОБЗОР","Обединено училище ""Св.Св.Кирил и Методий""","200601","26","72.5","26","67.83"
"БУРГАС","НЕСЕБЪР","ГР.СВЕТИ ВЛАС","Основно училище ""Свети свети Кирил и Методий""","200606","60","78.53","61","77.84"
"БУРГАС","НЕСЕБЪР","С.ГЮЛЬОВЦА","Основно училище "" Св. Св. Кирил и Методий ""","200602","10","62.1","10","67.5"
"БУРГАС","НЕСЕБЪР","С.КОШАРИЦА","ОСНОВНО УЧИЛИЩЕ ""СВЕТИ ИВАН РИЛСКИ""","200603","6","66.25","6","70.5"
"БУРГАС","НЕСЕБЪР","С.ОРИЗАРЕ","Основно училище ""Георги Стойков Раковски""","200604","18","47.42","17","39.09"
"БУРГАС","НЕСЕБЪР","С.РАВДА","Основно училище "" Св. св. Кирил и Методий ""","200605","35","83.36","35","85.73"
"БУРГАС","НЕСЕБЪР","С.ТЪНКОВО","Основно училище "" Васил Левски ""","200607","4","56.13","4","46"
"БУРГАС","ПОМОРИЕ","ГР.КАБЛЕШКОВО","ОУ ""Св. П. Хилендарски""","200702","26","67.98","26","67.13"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","Основно училище ""Христо Ботев""","200703","26","46.1","27","47.02"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","Средно училище ""Иван Вазов""","200711","70","84.31","70","77.24"
"БУРГАС","ПОМОРИЕ","С.АХЕЛОЙ","Основно училище "" Христо Ботев ""","200704","40","69.06","40","69.69"
"БУРГАС","ПОМОРИЕ","С.БАТА","Основно училище ""Христо Ботев ""","200705","13","64.85","13","89"
"БУРГАС","ПОМОРИЕ","С.ГАБЕРОВО","Начално училище ""Константин Величков""","200701","8","55.56","8","64.31"
"БУРГАС","ПОМОРИЕ","С.ГОРИЦА","Основно училище ""Христо Ботев""","200706","8","54.44","8","42.19"
"БУРГАС","ПОМОРИЕ","С.ГЪЛЪБЕЦ","Основно училище ""Георги Стойков Раковски""","200707","12","50.42","12","60.71"
"БУРГАС","ПОМОРИЕ","С.ДЪБНИК","Основно училище "" Елин Пелин""","200708","5","68.1","5","67.8"
"БУРГАС","ПОМОРИЕ","С.ПОРОЙ","Основно училище ""Свети свети Кирил и Методий""","200709","7","63.21","7","72.29"
"БУРГАС","ПОМОРИЕ","С.СТРАЦИН","Основно училище ""Отец Паисий""","200710","11","47.32","11","66.09"
"БУРГАС","ПРИМОРСКО","ГР.ПРИМОРСКО","Средно училище ""Никола Йонков Вапцаров""","200803","36","74.75","40","71.39"
"БУРГАС","ПРИМОРСКО","С.НОВО ПАНИЧАРЕВО","Основно Училище ""Христо Ботев""","200801","7","21.5","7","24.14"
"БУРГАС","РУЕН","С.ВРЕСОВО","Основно училище ""Д-р Петър Берон""","200907","13","41.04","13","58.85"
"БУРГАС","РУЕН","С.ДОБРА ПОЛЯНА","Основно училище "" Св. Св. Кирил и Методий""","200908","6","69.42","6","71.42"
"БУРГАС","РУЕН","С.ДОБРОМИР","Основно училище "" Алеко Константинов""","200909","5","37.8","5","52.5"
"БУРГАС","РУЕН","С.ДЪСКОТНА","Основно училище ""Климент Охридски""","200910","11","56.45","11","74.27"
"БУРГАС","РУЕН","С.ЗАЙЧАР","Основно училище ""Никола Йонков Вапцаров""","200912","5","33.4","5","62"
"БУРГАС","РУЕН","С.ЛЮЛЯКОВО","Средно Училище "" Отец Паисий""","200931","17","61.74","17","78.44"
"БУРГАС","РУЕН","С.ПЛАНИНИЦА","Основно училище ""Никола Йонков Вапцаров""","200915","1","40.5","1","66"
"БУРГАС","РУЕН","С.ПРОСЕНИК","Обединено училище ""Св. Св. Кирил и Методий""","200918","8","33.5","8","44.25"
"БУРГАС","РУЕН","С.РАЗБОЙНА","Основно Училище ""Д-р Петър Берон""","200919","6","30.92","6","35.67"
"БУРГАС","РУЕН","С.РЕЧИЦА","Основно училище ""Антон Симеонович Макаренко""","200920","14","59.25","14","59.93"
"БУРГАС","РУЕН","С.РУЕН","Средно училище ""Елин Пелин""","200932","39","43.67","39","68.86"
"БУРГАС","РУЕН","С.РЪЖИЦА","Основно училище ""Иван Вазов""","200922","16","32.66","15","50.67"
"БУРГАС","РУЕН","С.СИНИ РИД","Основно училище ""Реджеб Кюпчу""","200923","18","56.25","18","52.94"
"БУРГАС","РУЕН","С.СНЯГОВО","Основно училище "" Димчо Дебелянов""","200926","5","58.7","5","61.2"
"БУРГАС","РУЕН","С.СТРУЯ","Основно училище ""Иван Вазов""","200927","4","28.38","4","52.63"
"БУРГАС","РУЕН","С.ТОПЧИЙСКО","Основно училище "" Реджеб Кюпчю""","200928","23","46.43","23","58.74"
"БУРГАС","РУЕН","С.ТРЪНАК","Средно училище "" Димитър Полянов""","200929","24","40.85","24","49.5"
"БУРГАС","РУЕН","С.ЧЕРЕША","Основно училище ""Христо Ботев""","200930","4","55","4","53"
"БУРГАС","РУЕН","С.ЯБЪЛЧЕВО","Начално училище "" д-р Петър Берон""","200904","14","55.46","14","65"
"БУРГАС","СОЗОПОЛ","ГР.СОЗОПОЛ","Средно училище ""Св. св. Кирил и Методий""","201009","22","75.77","22","72.91"
"БУРГАС","СОЗОПОЛ","С.ЗИДАРОВО","Основно училище ""Христо Ботев""","201003","10","35.85","9","48.06"
"БУРГАС","СОЗОПОЛ","С.КРУШЕВЕЦ","Основно училище ""Пейо Крачолов Яворов""","201005","6","44.58","6","37.33"
"БУРГАС","СОЗОПОЛ","С.РАВНА ГОРА","Основно училище ""Отец Паисий""","201006","6","58.58","6","50.5"
"БУРГАС","СОЗОПОЛ","С.РОСЕН","Обединено училище ""Христо Ботев""","201007","14","44.68","14","51.14"
"БУРГАС","СОЗОПОЛ","С.ЧЕРНОМОРЕЦ","Основно училище ""Христо Ботев""","201008","11","59.86","11","60.18"
"БУРГАС","СРЕДЕЦ","ГР.СРЕДЕЦ","Средно училище ""Свети Свети Кирил и Методий""","201104","51","40.82","49","38.4"
"БУРГАС","СРЕДЕЦ","С.ДЕБЕЛТ","Основно училище ""Антон Страшимиров""","201101","18","34.67","18","31.33"
"БУРГАС","СРЕДЕЦ","С.ЗАГОРЦИ","Основно училище ""Св. Св. Кирил и Методий""","201102","15","21.37","16","36.94"
"БУРГАС","СРЕДЕЦ","С.ФАКИЯ","Основно училище""Никола Йонков Вапцаров""","201103","6","29.5","6","36.67"
"БУРГАС","СУНГУРЛАРЕ","ГР.СУНГУРЛАРЕ","Средно училище ""Христо Ботев""","201212","55","47.9","53","50.05"
"БУРГАС","СУНГУРЛАРЕ","С.ГРОЗДЕН","Основно училище ""Св.св.Кирил и Методий""","201206","10","23.6","10","42.3"
"БУРГАС","СУНГУРЛАРЕ","С.ЛОЗАРЕВО","Основно училище ""Христо Ботев""","201207","17","37.03","17","43.15"
"БУРГАС","СУНГУРЛАРЕ","С.МАНОЛИЧ","Основно училище ""Св.Св.Кирил и Методий""","201208","11","42.32","11","42"
"БУРГАС","СУНГУРЛАРЕ","С.ПРИЛЕП","Основно училище ""Васил Левски""","201209","4","63","4","47.75"
"БУРГАС","СУНГУРЛАРЕ","С.СЪЕДИНЕНИЕ","Основно училище ""Отец Паисий""","201211","12","30.46","12","46"
"БУРГАС","ЦАРЕВО","ГР.АХТОПОЛ","Основно училище""Св.Св.Кирил и Методий""","201304","10","52.05","11","27.55"
"БУРГАС","ЦАРЕВО","ГР.ЦАРЕВО","Средно училище ""Никола Йонков Вапцаров""","201305","57","77.28","54","72.8"
"ВАРНА","АВРЕН","С.АВРЕН","Основно училище ""Христо Ботев""","400079","5","58.5","5","57.4"
