"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 204","Първо средно   училище ""Свети Седмочисленици""","80","4,76","11","5,86","6","5,55","1","6,00","5","4,78","0","0,00","8","5,44","19","5,00","30","4,59","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","ГР.ТЪРГОВИЩЕ","2 500 203","Спортно  училище "" Никола Симов""","16","3,67","2","4,54","0","0,00","0","0,00","3","2,82","0","0,00","0","0,00","7","3,75","5","3,86","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ДИМИТРОВГРАД","ГР.ДИМИТРОВГРАД","2 602 020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ    ""Д-р Иван Богоров""","54","4,46","0","0,00","1","4,15","1","5,67","0","0,00","0","0,00","2","4,13","20","4,57","30","4,61","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ДИМИТРОВГРАД","ГР.ДИМИТРОВГРАД","2 602 019","Природо-математическа гимназия  със засилено изучаване на чужди езици ""Иван Вазов""","72","4,67","11","5,58","1","5,41","0","0,00","20","4,73","0","0,00","2","4,16","9","5,06","29","4,86","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ДИМИТРОВГРАД","ГР.ДИМИТРОВГРАД","2 602 023","Професионална гимназия ""Проф. д-р Асен Златаров""","40","3,30","0","0,00","2","2,83","0","0,00","8","2,84","0","0,00","0","0,00","19","3,41","4","4,14","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ДИМИТРОВГРАД","ГР.ДИМИТРОВГРАД","2 602 018","Средно  училище  ""Любен Каравелов""","67","3,44","2","2,51","2","3,10","0","0,00","22","3,18","0","0,00","20","3,60","15","3,28","10","3,95","1","3,64","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ИВАЙЛОВГРАД","ГР.ИВАЙЛОВГРАД","2 610 005","Средно училище  ""Христо Ботев""","27","3,60","0","0,00","3","5,08","0","0,00","23","3,22","0","0,00","0","0,00","2","4,67","1","4,90","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ЛЮБИМЕЦ","ГР.ЛЮБИМЕЦ","2 606 005","Средно  училище  ""Желязко Терпешев""","39","3,45","0","0,00","0","0,00","0","0,00","17","2,97","0","0,00","3","5,24","13","4,82","2","4,41","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","МАДЖАРОВО","ГР.МАДЖАРОВО","2 608 001","Средно   училище    ""Димитър Маджаров""","13","2,89","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","СВИЛЕНГРАД","ГР.СВИЛЕНГРАД","2 605 016","Професионална гимназия   по селско стопанство и икономика  ""Христо Ботев""","80","3,61","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","7","3,50","6","4,90","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
