"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"София-област","Ботевград","Скравена","2309022","Основно училище ""Свети Свети Кирил и Методий""","10","10","11","12","62,5","54,5","77,73","63,33"
"София-област","Ихтиман","Вакарел","2309054","Обединено Училище ""Христо Смирненски""","12","12","12","12","64,58","50,42","74,17","77,5"
"София-област","Елин Пелин","Габра","2309080","Основно училище ""Отец Паисий""","4","4","4","4","80","77,5","78,75","75"
"София-област","Своге","Лакатник","2309111","Основно училище ""Христо Ботев""","4","4","4","4","57,5","42,5","72,5","77,5"
"София-област","Горна Малина","Априлово","2309200","Обединено училище ""Свети Свети Кирил и Методий""","8","8","7","6","46,88","46,88","47,86","55"
"София-област","Горна Малина","Горна Малина","2309225","Средно училище ""Христо Ботев""","28","28","28","28","67,86","74,82","71,96","75,89"
"София-област","Елин Пелин","Равно поле","2309264","Основно училище ""Христо Ботев""","13","13","13","13","61,15","63,08","67,31","72,69"
"София-област","Правец","Джурово","2309314","Основно училище ""Христо Ботев""","14","14","14","14","61,79","47,5","57,86","56,07"
"София-област","Правец","Видраре","2309321","Основно училище ""Васил Левски""","6","6","6","6","49,17","55,83","75","60"
"София-област","Правец","Осиковица","2309339","Основно училище ""Любен Каравелов""","9","9","11","11","56,67","57,78","52,73","57,73"
"София-област","Самоков","Радуил","2309353","Основно училище ""Христо Смирненски""","4","4","4","4","37,5","18,75","46,25","40"
"София-област","Горна Малина","Долно Камарци","2309385","Основно училище ""Отец Паисий""","2","2","2","2","40","52,5","67,5","50"
"София-област","Елин Пелин","Мусачево","2309403","Основно училище ""Иван Вазов""","1","1","1","1","60","45","65","70"
"София-област","Елин Пелин","Нови хан","2309410","Основно училище ""Свети свети Кирил и Методий""","20","20","20","20","76","76,5","85,5","83,5"
"София-област","Етрополе","Малки Искър","2309454","Основно училище ""Георги Бенковски""","7","7","6","7","60","60,71","55,83","70,71"
"София-област","Чавдар","Чавдар","2309499","Основно училище ""Св. Св. Кирил и Методий""","6","6","6","6","90","82,5","95,83","94,17"
"София-област","Костенец","Костенец","2309531","Основно училище ""Св.св. Кирил и Методий""","48","48","48","48","83,33","68,13","88,13","85"
"София-област","Костенец","Момин проход","2309532","Основно училище "" Христо Смирненски""","7","9","7","7","54,29","61,11","73,57","72,86"
"София-област","Самоков","Ярлово","2309606","Основно училище "" Васил Левски""","7","5","7","7","42,86","26","33,57","47,14"
"София-област","Костинброд","Костинброд","2309638","Средно училище ""Д-р Петър Берон""","74","76","75","75","75,74","73,49","81,27","85,2"
"София-област","Елин Пелин","Доганово","2309684","Основно училище ""Свети Свети Кирил и Методий""","7","7","7","7","53,57","45","61,43","60"
"София-област","Елин Пелин","Лесново","2309691","Основно училище ""Христо Ботев""","16","15","15","16","61,25","72,67","84,33","79,38"
"София-област","Ботевград","Новачене","2309766","Основно училище ""Васил Левски""","11","11","11","11","61,36","58,64","68,18","64,55"
"София-област","Правец","Правец","2309862","Основно училище ""Васил Левски""","43","43","44","44","73,26","69,19","74,66","79,55"
"София-област","Правец","Разлив","2309875","Основно училище ""Христо Ботев""","3","3","3","3","53,33","50","78,33","86,67"
"София-област","Своге","Реброво","2309912","Основно училище ""Д-р Петър Берон""","12","12","12","12","49,58","61,25","59,58","72,92"
"София-област","Своге","Владо Тричков","2309928","Основно училище ""Елин Пелин""","3","3","3","3","91,67","86,67","98,33","95"
"Стара Загора","Стара Загора","Стара Загора","2400014","СРЕДНО УЧИЛИЩЕ ""ЖЕЛЕЗНИК""","77","78","77","76","88,25","80,9","87,01","90,66"
"Стара Загора","Стара Загора","Стара Загора","2400104","СРЕДНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""","84","84","84","84","88,1","83,69","91,61","92,98"
"Стара Загора","Стара Загора","Стара Загора","2400105","Средно училище ""Христо Смирненски""","55","54","51","51","59,45","57,31","69,8","65,29"
"Стара Загора","Стара Загора","Стара Загора","2400106","Средно училище ""Максим Горки""","70","70","70","70","92,36","90,07","96,29","92,36"
"Стара Загора","Стара Загора","Стара Загора","2400107","Средно училище ""Иван Вазов""","75","76","75","75","81,33","82,57","82,2","87,93"
"Стара Загора","Стара Загора","Стара Загора","2400109","Основно училище ""Георги Райчев""","27","28","27","27","61,67","52,32","68,33","69,63"
"Стара Загора","Стара Загора","Стара Загора","2400122","Първо основно училище ""Георги Бакалов""","18","18","18","18","52,78","45,83","69,44","67,78"
"Стара Загора","Стара Загора","Стара Загора","2400123","Второ основно училище ""Петко Рачов Славейков""","113","113","112","113","87,96","78,45","89,02","90,93"
"Стара Загора","Стара Загора","Стара Загора","2400124","Начално училише ""Кольо Ганчев""","10","12","10","10","76","75,83","77","87"
"Стара Загора","Стара Загора","Стара Загора","2400125","Основно училище ""КИРИЛ ХРИСТОВ ""","149","149","150","150","82,11","85,57","87,63","87,07"
"Стара Загора","Стара Загора","Стара Загора","2400126","Пето основно училище "" Митьо Станев ""","178","178","177","177","84,89","77,05","88,73","88,59"
"Стара Загора","Стара Загора","Стара Загора","2400129","Основно училище Самара","14","14","15","15","88,21","75","80,33","85,67"
"Стара Загора","Стара Загора","Стара Загора","2400130","Девето основно училище ""Веселин Ханчев""","39","39","39","39","77,44","81,79","83,21","81,79"
"Стара Загора","Стара Загора","Стара Загора","2400132","Единадесето основно училище ""Николай Лилиев""","23","23","23","23","62,39","68,26","72,39","77,61"
"Стара Загора","Стара Загора","Стара Загора","2400133","Дванадесето основно училище ""Стефан Караджа""","51","51","45","46","52,75","54,12","53,78","57,28"
"Стара Загора","Стара Загора","Стара Загора","2400134","Тринадесето основно училище ""Свети Паисий Хилендарски""","27","27","27","27","84,26","71,48","87,22","90,19"
"Стара Загора","Стара Загора","Братя Кунчеви","2400138","Основно училище ""Христо Ботев""","16","16","14","16","55,94","65","64,29","73,44"
"Стара Загора","Стара Загора","Горно Ботево","2400139","Основно училище ""Христо Ботев"" с. Горно Ботево","8","8","8","8","53,13","45","56,25","53,75"
"Стара Загора","Стара Загора","Дълбоки","2400140","Основно училище ""Иван Мирчев""","21","20","20","20","70,48","61,25","67,5","72"
"Стара Загора","Стара Загора","Загоре","2400141","Основно училище ""Христо Ботев""","9","9","9","9","61,11","66,11","73,89","68,89"
"Стара Загора","Стара Загора","Калояновец","2400142","Основно училище ""Отец Паисий""","12","12","12","12","57,08","49,17","68,75","62,5"
"Стара Загора","Стара Загора","Преславен","2400143","Основно училище ""Бойчо Русев""","11","11","11","11","44,55","47,27","68,64","58,64"
"Стара Загора","Стара Загора","Хан Аспарухово","2400144","Основно училище ""Свети свети Кирил и Методий""","16","19","18","18","55,63","51,58","55,83","61,39"
"Стара Загора","Стара Загора","Хрищени","2400145","Основно училище ""Христо Ботев""","9","9","10","10","66,11","61,11","57,5","65"
"Стара Загора","Стара Загора","Стара Загора","2400146","Начално училище ""Димитър Благоев""","68","69","68","68","96,62","90","98,68","98,97"
"Стара Загора","Стара Загора","Стара Загора","2400147","Начално училище ""Зора""","13","15","13","13","69,23","61","72,69","76,54"
"Стара Загора","Стара Загора","Кирилово","2400161","Частно средно училище ""Нов век""","7","7","8","8","89,29","92,14","96,25","96,25"
