Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
СОФИЯ-ОБЛАСТ;ПИРДОП;ГР.ПИРДОП;2300105;СУ Саво Савов;55;52.96;56;30.73
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;С.ТРУДОВЕЦ;2300114;ОУ Любен Каравелов;14;34.86;14;18.82
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2300131;ПГ Константин Фотинов;28;69.11;28;51.08
СОФИЯ-ОБЛАСТ;ГОДЕЧ;ГР.ГОДЕЧ;2300163;СУ Проф.д-р Ас. Златаров;22;47.75;21;24.68
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;ГР.ЕЛИН ПЕЛИН;2300170;СУ Васил Левски;96;56.55;96;35.53
СОФИЯ-ОБЛАСТ;ИХТИМАН;ГР.ИХТИМАН;2300188;СУ Христо Ботев;71;50.65;70;37.93
СОФИЯ-ОБЛАСТ;ЕТРОПОЛЕ;ГР.ЕТРОПОЛЕ;2300195;СУ Хр. Ясенов;81;47.02;81;34.67
СОФИЯ-ОБЛАСТ;ДРАГОМАН;ГР.ДРАГОМАН;2300214;СУ Христо Ботев;22;50.89;22;26.20
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;ГР.БОТЕВГРАД;2301045;ОУ Св.Св.Кирил и Методий;48;53.48;48;27.38
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2301881;ОУ Св.Св.Кирил и Методий;31;51.13;31;32.70
СОФИЯ-ОБЛАСТ;СВОГЕ;С.ЦЕРОВО;2302003;ОУ Васил Левски;11;49.77;11;60.98
СОФИЯ-ОБЛАСТ;КОСТИНБРОД;С.ПЕТЪРЧ;2302142;ОУ Отец Паисий;10;41.95;10;22.03
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2303106;СУ Отец Паисий;41;50.99;41;29.91
СОФИЯ-ОБЛАСТ;ЕТРОПОЛЕ;С.ЛОПЯН;2303456;ОУ Хр. Ботев;18;23.36;19;38.70
СОФИЯ-ОБЛАСТ;КОСТЕНЕЦ;ГР.КОСТЕНЕЦ;2303490;СУ Св. Климент Охридски;47;55.10;47;34.78
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2303825;ОУ Неофит Рилски;74;9.09;68;11.51
СОФИЯ-ОБЛАСТ;ИХТИМАН;ГР.ИХТИМАН;2304101;ОУ Д.Дебелянов;22;31.75;21;17.43
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2304610;СУ Никола Велчев;23;30.61;23;19.46
СОФИЯ-ОБЛАСТ;КОСТЕНЕЦ;С.КОСТЕНЕЦ;2304763;ОУ Константин Костенечки;27;45.85;27;35.56
СОФИЯ-ОБЛАСТ;ДОЛНА БАНЯ;ГР.ДОЛНА БАНЯ;2306213;СУ Н.Рилски;37;30.76;39;19.43
СОФИЯ-ОБЛАСТ;КОПРИВЩИЦА;ГР.КОПРИВЩИЦА;2306331;СУ Любен Каравелов;28;42.98;27;41.97
СОФИЯ-ОБЛАСТ;СЛИВНИЦА;ГР.СЛИВНИЦА;2306517;СУ Св.Св.Кирил и Методий;53;48.17;53;39.87
