"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","105 101","Средно училище  ""Св.Паисий Хилендарски""","10","3,44","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","7","3,78","0","0,00","3","3,02","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","10","3,55","20","3,50"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","102 009","Професионална гимназия по  механоелектротехника ""Юрий Гагарин""","43","3,34","0","0,00","0","0,00","0","0,00","38","3,27","0","0,00","0","0,00","1","2,44","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","39","3,25","82","3,30"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","102 014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","100","3,59","1","4,87","1","3,31","0","0,00","3","2,71","0","0,00","2","3,88","4","3,62","4","4,55","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","15","3,78","115","3,62"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 001","Профилирана гимназия ""Пейо Крачолов Яворов""","127","4,45","17","4,37","4","5,66","0","0,00","45","4,05","0","0,00","7","5,18","31","4,72","25","5,07","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","129","4,56","256","4,51"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","103 310","Средно училище ""Никола Йонков Вапцаров""","26","4,79","3","4,66","1","5,99","0","0,00","15","4,45","0","0,00","0","0,00","3","5,38","4","5,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","26","4,74","52","4,77"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 002","Средно училище ""Антон Попов""","3","2,89","0","0,00","0","0,00","0","0,00","1","2,40","0","0,00","0","0,00","2","2,53","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","2,49","6","2,69"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","104 003","Средно училище  ""Васил Левски""","10","4,68","0","0,00","1","6,00","0","0,00","8","5,07","0","0,00","0","0,00","0","0,00","1","4,95","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","10","5,15","20","4,92"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","104 004","Средно училище ""Св.Паисий Хилендарски""","30","4,39","0","0,00","0","0,00","0","0,00","7","5,03","1","5,64","0","0,00","17","4,76","5","5,82","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","30","5,03","60","4,71"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 012","Разложка професионална гимназия ""Никола Стойчев""","53","4,07","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","5,58","3","4,87","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","5,05","57","4,14"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 113","Професионална гимназия по транспорт","53","3,92","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","53","3,92"
