"Град","Код","Име","БЕЛ","МАТ"
"София","2219042","42 ОУ","56.58","39.07"
"София","2219044","44. СУ Неофит Бозвели","59.16","31.12"
"София","2219049","49 ОУ Бенито Хуарес","64.40","48.70"
"София","2219095","95 СУ","54.87","39.90"
"София","2219106","106 ОУ","18.08","15.25"
"София","2219124","124 ОУ Васил Левски","26.06","21.34"
"София","2219130","130 СУ Стефан Караджа","49.24","24.52"
"София","2219143","143. ОУ Г. Бенковски","67.70","54.27"
"София","2219166","166 СУ В.Левски","40.58","20.88"
"София","2219199","199 ОУ Св.Ап.Й.Богослов","52.94","38.58"
"София","2220014","14 СУ Проф. д-р А. Златаров","63.53","52.44"
"София","2220029","29. СУ Кузман Шапкарев","35.75","18.38"
"София","2220048","48 ОУ Й. Ковачев","63.73","41.64"
"София","2220058","58 ОУ Сергей Румянцев","51.35","26.49"
"София","2220059","59 ОбУ Васил Левски","15.01","11.67"
"София","2220060","60 ОУ Св.св.Кирил и Методий","58.55","29.02"
"София","2220100","100 ОУ Н. Геров","52.00","30.99"
"София","2221023","23 СУ Фредерик Ж.-Кюри","61.69","40.46"
"София","2221031","31 СУЧЕМ Иван Вазов","75.15","60.83"
"София","2221093","93 СУ Ал. Теодоров – Балан","54.00","35.17"
"София","2221094","94 СУ Д.Страшимиров","17.33","11.72"
"София","2221109","109 ОУ","63.95","48.47"
"София","2221138","138 СУЗИЕ Проф.В.Златарски","66.05","54.29"
"София","2221148","148 ОУ Проф. д-р Л. Милетич","46.59","24.60"
"София","2221501","ЧОУ Образователни технологии","66.85","55.26"
"София","2221563","ПЧМГ","84.62","95.21"
"София","2221614","ЧОУ Джани РоДари","92.00","54.25"
"София","2222006","6 ОУ Граф Игнатиев","73.90","57.55"
"София","2222007","7. СУ Свети Седмочисленици","69.47","55.40"
"София","2222012","12 СУ Цар Иван Асен ІІ","65.69","51.16"
"София","2222038","38 ОУ","71.77","60.97"
"София","2222127","127 СРЕДНО УЧИЛИЩЕ","66.03","45.60"
"София","2222133","133 СУ А.С.Пушкин","76.68","60.44"
"София","2223008","8. СУ","63.13","37.99"
"София","2223055","55 СУ","71.90","60.56"
"София","2224020","20 ОУ Тодор Минков","79.19","65.92"
"София","2224022","22 СЕУ Г. С. Раковски","71.93","58.89"
"София","2224041","41 ОУ Св. Патриарх Евтимий","74.45","64.37"
"София","2224047","47 СУ","66.43","48.12"
"София","2224073","73. СУ Владислав Граматик","80.39","72.23"
"София","2224104","104 ОУ Захари Стоянов","72.21","59.79"
"София","2224121","121 СУ","57.92","38.92"
"София","2224126","126 ОУ П. Ю. Тодоров","67.21","43.96"
"София","2224544","Частно СУ Артис","64.50","39.70"
"София","2224672","ЧОУ Куест","67.33","49.33"
"София","2224677","ОПУ Прогресивно образование","70.60","42.25"
"София","2902101","НМУ","63.45","37.35"
"София","2902301","НУТИ","59.64","32.24"
"София","2902701","НУККЛИИЕК","79.61","61.92"
"Пловдив","1690142","ОУ Ал.Константинов","74.79","61.02"
"Пловдив","1690143","ОУ Тютюнджян","64.36","49.30"
"Пловдив","1690144","ОУ Гео Милев","11.97","14.37"
"Пловдив","1690146","ОУ Д-р П. Берон","71.73","44.59"
"Пловдив","1690147","ОУ Душо Хаджидеков","74.13","62.64"
"Пловдив","1690148","ОУ Екзарх Антим І","70.65","60.12"
"Пловдив","1690149","ОУ К.Честеменски","69.47","46.50"
"Пловдив","1690150","СУ Любен Каравелов","58.67","31.08"
"Пловдив","1690152","ОУ Княз Александър I","73.46","54.66"
"Пловдив","1690154","СУ Св.Паисий Хилендарски","58.29","40.62"
"Пловдив","1690155","СУ Св. Кл. Охридски","53.80","38.35"
"Пловдив","1690156","СУ Свети Патриарх Евтимий","77.65","65.53"
"Пловдив","1690157","СУ Цар Симеон Велики","65.64","40.97"
"Пловдив","1690244","ОУ Васил Левски","65.93","45.62"
"Пловдив","1690245","ОУ Д. Дебелянов","8.70","14.15"
"Пловдив","1690246","ОУ Пенчо Славейков","6.45","11.18"
"Пловдив","1690247","СУ Н. Геров","8.62","11.67"
"Пловдив","1690248","СУ Симон Боливар","37.51","22.36"
"Пловдив","1690271","СУ за УУС","12.50","12.00"
"Пловдив","1690341","ОУ Васил Петлешков","64.34","42.44"
"Пловдив","1690342","ОУ Драган Манчов","64.87","40.66"
"Пловдив","1690343","ОУ Елин Пелин","56.98","39.50"
"Пловдив","1690344","ОУ Тодор Каблешков","42.92","30.98"
"Пловдив","1690345","СУ Св. св. Кирил и Методий","62.21","37.84"
"Пловдив","1690346","МГ Акад. К. Попов","90.11","92.26"
"Пловдив","1690347","СУ Васил Левски","40.25","20.80"
"Пловдив","1690442","ОУ Димитър Димов","60.26","46.25"
"Пловдив","1690443","ОбУ Йордан Йовков","16.39","16.85"
"Пловдив","1690444","ОУ П. Волов","6.10","13.18"
"Пловдив","1690445","ОУ Райна Княгиня","69.16","52.48"
"Пловдив","1690446","СУ Никола Вапцаров","62.78","47.97"
"Пловдив","1690447","СУ П. К. Яворов","56.63","34.40"
"Пловдив","1690448","СУ Христо Груев Данов","56.42","36.94"
"Пловдив","1690542","СУ Братя Миладинови","52.39","31.54"
"Пловдив","1690544","ОУ Д.Талев","59.58","37.62"
"Пловдив","1690545","ОУ Захари Стоянов","40.88","28.98"
"Пловдив","1690546","ОУ Стоян Михайловски","52.63","36.85"
"Пловдив","1690547","ОУ Яне Сандански","64.66","47.03"
"Пловдив","1690549","СУ Константин Величков","50.93","31.52"
"Пловдив","1690550","СУ Св. К. К. Философ","62.90","44.71"
"Пловдив","1690642","СУ Димитър Матевски","55.18","32.83"
"Пловдив","1690643","СУ Св. Седмочисленици","59.81","43.37"
"Пловдив","1690644","СУ Св. Софроний Врачански","64.31","40.82"
"Пловдив","1690645","СУ Черноризец Храбър","72.82","49.40"
"Пловдив","1690901","ЧСУ ДРУЖБА","67.59","61.30"
"Пловдив","1690907","ЧОУ Класик","54.17","34.50"
"Пловдив","1690912","ЧОУ Бъдеще","71.56","59.42"
"Пловдив","2902102","НУМТИ Добрин Петков","67.44","38.55"
"Варна","400003","ОУ Антон Страшимиров","61.33","43.83"
"Варна","400005","ОУ Васил Априлов","63.64","44.62"
"Варна","400006","ОУ Г. С. Раковски","70.79","52.09"
"Варна","400007","ОУ Добри Чинтулов","64.59","50.56"
"Варна","400008","ОУ Захари Стоянов","75.40","64.34"
"Варна","400009","ОУ Иван Вазов","57.64","32.75"
"Варна","400010","ОУ Св. Иван Рилски","17.65","13.33"
"Варна","400011","ОУ Йордан Йовков","67.16","48.67"
"Варна","400012","ОУ Константин Арабаджиев","52.13","43.39"
"Варна","400015","ОУ Кап. Петко войвода","41.18","22.55"
"Варна","400017","ОУ Отец Паисий","11.09","10.58"
"Варна","400018","ОУ Панайот Волов","68.09","50.44"
"Варна","400019","ОУ Св. Патриарх Евтимий","58.51","38.55"
"Варна","400020","ОУ Петко Р.Славейков","75.40","71.54"
"Варна","400022","ОУ Св.св.Кирил и Методий","77.18","64.92"
"Варна","400023","ОУ Стефан Караджа","65.39","49.02"
"Варна","400024","ОУ Стоян Михайловски","51.03","30.23"
"Варна","400026","ОУ Христо Ботев","45.51","27.63"
"Варна","400028","ОУ Цар Симеон І","65.25","49.12"
"Варна","400029","ОУ Черноризец Храбър","70.47","52.52"
"Варна","400030","VІІ СУ Найден Геров","72.27","67.09"
"Варна","400031","СУЕО Ал. С. Пушкин","75.90","60.93"
"Варна","400032","ОУ Васил Друмев","63.19","52.55"
"Варна","400033","СУ Георги Бенковски","46.36","23.49"
"Варна","400034","СУ Гео Милев","69.26","54.13"
"Варна","400036","СУ Елин Пелин","20.14","15.70"
"Варна","400037","СУ Любен Каравелов","16.86","15.93"
"Варна","400039","СУ Пейо Кр. Яворов","55.18","35.18"
"Варна","400040","СУ Св.Климент Охридски","73.87","61.28"
"Варна","400046","МГ Д-р П. Берон","90.43","96.45"
"Варна","400047","СУХНИ Константин Преславски","68.48","42.12"
"Варна","400061","ЧСУ Аз съм българче","46.79","28.64"
"Варна","400075","ЧОУ Малкият принц","66.14","48.57"
"Варна","403535","ОУ Св. княз Борис I","49.59","32.41"
"Варна","403536","ІІІ ОУ А. Кънчев","67.97","50.42"
"Варна","403537","СУ Димчо Дебелянов","58.04","42.07"
"Варна","403538","СУ Неофит Бозвели","48.12","29.25"
"Варна","403543","Второ ОУ Н.Й.Вапцаров","59.20","35.92"
"Варна","403558","ЧСУ Мечтатели","60.69","55.25"
"Варна","403564","Частно основно училище Д-р Мария Монтесори","39.17","44.00"
"Варна","2902106","НУИ Д.Христов","62.80","44.55"
"Бургас","200205","ОУ П. Р. Славейков","68.78","53.71"
"Бургас","200206","ОУ Св. княз Борис І","59.68","45.47"
"Бургас","200207","ОУ Л. Каравелов","65.39","41.00"
"Бургас","200208","ОУ Найден Геров","52.61","35.55"
"Бургас","200209","ОУ Антон Страшимиров","68.06","51.79"
"Бургас","200210","ОУ Св.Климент Охридски","64.24","49.55"
"Бургас","200211","ОУ Георги Бенковски","64.00","45.19"
"Бургас","200212","ОУ П. К. Яворов","67.07","43.39"
"Бургас","200213","ОУ Васил Априлов","73.66","58.21"
"Бургас","200214","ОУ Братя Миладинови","65.13","51.35"
"Бургас","200215","ОУ Елин Пелин","63.62","47.43"
"Бургас","200216","ОУ Васил Левски – Бургас","17.10","20.18"
"Бургас","200217","ОУ Хр. Ботев (кв. Сарафово)","50.87","30.39"
"Бургас","200218","ОУ Христо Ботев (кв. Победа)","8.56","11.36"
"Бургас","200219","ОУ Христо Ботев (кв. Д. Езерово)","40.05","20.25"
"Бургас","200221","СУ Хр. Ботев (кв. Черно Море)","33.28","18.65"
"Бургас","200222","ОУ Иван Вазов","52.87","40.13"
"Бургас","200223","ОУ Христо Ботев (кв. Ветрен)","57.70","39.50"
"Бургас","200228","СУ Йордан Йовков","56.84","38.73"
"Бургас","200229","СУ Еп. Константин Преславски","55.83","40.14"
"Бургас","200230","СУ Димчо Дебелянов","55.65","44.31"
"Бургас","200231","СУ Добри Чинтулов","63.06","37.81"
"Бургас","200232","СУ К. Петканов","53.69","30.08"
"Бургас","200233","СУ Петко Росен","51.55","35.96"
"Бургас","200234","СУ Св. Св.Кирил и Методий","65.95","44.55"
"Бургас","200239","ППМГ Акад. Никола Обрешков","86.16","95.34"
"Бургас","200240","СУ Юрий Гагарин","39.86","23.83"
"Бургас","200241","ОУ А. Георгиев-Коджакафалията","81.61","74.03"
"Бургас","200259","ПЧОУ","79.54","78.07"
"Бургас","2902103","НУМСИ","67.90","39.99"
"Благоевград","100020","ІІ ОУ Димитър Благоев","65.01","47.96"
"Благоевград","100040","ІV ОУ Димчо Дебелянов","50.20","31.96"
"Благоевград","100070","VІІ СУ Кузман Шапкарев","66.96","48.76"
"Благоевград","100110","ХІ ОУ Христо Ботев","54.98","29.95"
"Благоевград","100200","ПМГ Акад. Сергей Корольов","85.46","89.66"
"Благоевград","101250","СУИЧЕ Св. Климент Охридски","54.07","36.78"
"Благоевград","101290","ІІІ ОУ ДимитърТалев","69.23","44.94"
"Благоевград","101580","VІІІ СУ Арсени Костенцев","63.70","43.91"
"Благоевград","101700","ІХ ОУ Пейо Кр. Яворов","41.20","27.28"
"Благоевград","101880","СУ Иван Вазов","56.55","34.74"
