"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2218201","201 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","62.93","40","28","28"
"София","2214015","15 Средно училище Адам Мицкевич","53.94","39.67","40","33"
"София","2212040","40 Средно училище Луи Пастьор","63.72","39.1","88","88"
"София","2200015","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ПРОФ. Д-Р ВАСИЛ ЗЛАТАРСКИ","60.82","38.73","33","33"
"София","2224047","47 Средно училище Христо Груев Данов","59.1","38.53","29","29"
"София","2213144","144 Средно училище Народни будители","64.35","37.96","153","152"
"София","2902101","Национално музикално училище Любомир Пипков","63.74","37.46","76","75"
"София","2224544","ЧСУ по изкуства и чужди езици Артис","66.21","37.45","14","14"
"София","2207150","150-то ОСНОВНО УЧИЛИЩЕ ЦАР СИМЕОН ПЪРВИ","54.34","37.34","46","45"
"София","2207108","108 Средно училище Никола Беловеждов","58.07","36.99","83","83"
"София","2218084","84 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","54.21","36.95","19","19"
"София","2219044","44. Средно училище Неофит Бозвели","60.32","36.85","52","52"
"София","2202620","Частно средно училище Професор Николай Райнов","51.83","36.67","6","6"
"София","2207068","68. Средно училище Академик Никола Обрешков","54.98","36.18","52","52"
"София","2214101","101. СРЕДНО УЧИЛИЩЕ БАЧО КИРО","61.15","36.09","86","86"
"София","2203062","62. Основно училище Христо Ботев","53.88","36.06","21","21"
"София","2206045","45 основно училище Константин Величков","60.08","35.86","96","96"
"София","2220048","48 ОСНОВНО УЧИЛИЩЕ ЙОСИФ КОВАЧЕВ","58.82","35.69","59","59"
"София","2220060","60 ОУ Св.св.Кирил и Методий","58.54","35.4","40","40"
"София","2208526","Частно средно училище Орфей","62.67","35.25","3","3"
"София","2212079","79 средно училище Индира Ганди","53.47","35.1","90","90"
"София","2204046","46 Основно училище Константин Фотинов с разширено изучаване на хореография","56.41","35","32","32"
"София","2219166","166 Спортно училище Васил Левски","52.17","34.1","74","73"
"София","2202026","26 Средно училище Йордан Йовков","59.96","34.06","41","41"
"София","2221023","23 Средно училище Фредерик Жолио-Кюри","61.46","33.62","65","65"
"София","2212137","137 средно училище Ангел Кънчев","56.26","33.3","75","75"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","29.7","33.25","5","4"
"София","2217072","72 Основно училище Христо Ботев ","53.63","33.2","24","24"
"София","2217149","149 Средно училище ,,Иван Хаджийски","57.6","31.69","49","49"
"София","2201078","78. Средно училище Христо Смирненски","55.45","31.29","76","76"
"София","2219095","95 СУ Проф. Иван Шишманов","51.29","31.29","49","49"
"София","2215171","171 ОСНОВНО УЧИЛИЩЕ СТОИЛ ПОПОВ","57.4","30.72","29","29"
"София","2218083","83. Основно училище Елин Пелин","56.68","30.62","25","25"
"София","2218192","192. СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","55.7","30.45","25","25"
"София","2902301","Национално училище за танцово изкуство","63.44","30.26","48","48"
"София","2221614","Частно основно училище Джани РоДари ЕООД","51.5","30.04","12","12"
"София","2202086","86 Основно училище Св. Климент Охридски","63.46","30.04","12","12"
"София","2210156","156-о обединено училище Васил Левски","59.14","29.91","11","11"
"София","2214102","102. oсновно училище Панайот Волов","51.39","29.55","44","44"
"София","2203175","175 основно училище Васил Левски","51.6","29.52","24","24"
"София","2204595","ЧАСТНО ОСНОВНО УЧИЛИЩЕ СВЕТЛИНА","49.13","29.5","4","4"
"София","2218202","202 ОСНОВНО УЧИЛИЩЕ ХРИСТО БОТЕВ","50.64","28.95","11","11"
"София","2213082","82. основно училище Васил Евстатиев Априлов","61.35","28.71","24","24"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","55.26","28.23","80","80"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","59.41","28.09","11","11"
"София","2206003","3. СУ Марин Дринов","39.17","28.05","15","15"
"София","2209132","132. Средно училище Ваня Войнова","49.09","27.9","49","49"
"София","2220058","58 Основно училище Сергей Румянцев","62.73","27.85","37","37"
"София","2212027","27. Средно училище Акад. Георги Караславов","38.25","27.5","10","10"
"София","2212077","77 Основно училище Св. Св. Кирил и Методий","55.5","27.48","27","28"
"София","2219199","199 Основно Училище Свети Апостол Йоан Богослов","62.27","27.14","42","42"
"София","2202152","152 ОСНОВНО УЧИЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ","71.25","26.81","4","4"
